dataset,pair_type,biological_pair_id,direction,pair_id,independent_unit_id,method,epsilon,tau,grid_role,parameter_index,pair_file_id,intervention,max_absolute_plan_difference,mean_absolute_plan_difference,normalized_l1_plan_difference,equivalence_tolerance,equivalence_pass,row_response_spearman,row_response_nmae,transported_mass_difference,objective_n,objective_s,objective_ratio_s_over_n,gate_n,gate_s_reference,gate_conclusion_consistent,claim_status
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151669_151670,reverse,DLPFCML_151669_151670__reverse,spatialLIBD_manual::Br5595,row_softmax,0.25,,baseline,1,DLPFCML_151669_151670__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151671_151672,forward,DLPFCML_151671_151672,spatialLIBD_manual::Br5595,balanced_ot,0.25,,baseline,1,DLPFCML_151671_151672,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.4196967061773456,-1.7098483530886728,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151671_151672,forward,DLPFCML_151671_151672,spatialLIBD_manual::Br5595,balanced_ot,0.25,,baseline,1,DLPFCML_151671_151672,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.785250909109358,-1.392625454554679,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151671_151672,forward,DLPFCML_151671_151672,spatialLIBD_manual::Br5595,uot,0.25,2.0,baseline,1,DLPFCML_151671_151672,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.962078237440942,-2.481039118720471,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151671_151672,forward,DLPFCML_151671_151672,spatialLIBD_manual::Br5595,uot,0.25,2.0,baseline,1,DLPFCML_151671_151672,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.800880439031812,-1.900440219515906,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151671_151672,forward,DLPFCML_151671_151672,spatialLIBD_manual::Br5595,row_softmax,0.25,,baseline,1,DLPFCML_151671_151672,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151671_151672,forward,DLPFCML_151671_151672,spatialLIBD_manual::Br5595,row_softmax,0.25,,baseline,1,DLPFCML_151671_151672,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151671_151672,reverse,DLPFCML_151671_151672__reverse,spatialLIBD_manual::Br5595,balanced_ot,0.25,,baseline,1,DLPFCML_151671_151672__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.419696706177343,-1.7098483530886714,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151671_151672,reverse,DLPFCML_151671_151672__reverse,spatialLIBD_manual::Br5595,balanced_ot,0.25,,baseline,1,DLPFCML_151671_151672__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.7852509091093607,-1.3926254545546803,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151671_151672,reverse,DLPFCML_151671_151672__reverse,spatialLIBD_manual::Br5595,uot,0.25,2.0,baseline,1,DLPFCML_151671_151672__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.962078237440942,-2.481039118720471,0.5,False,False,True,post-review sensitivity analysis; manual cortical-layer extension
