dataset,pair_type,biological_pair_id,direction,pair_id,independent_unit_id,method,epsilon,tau,grid_role,arm,stage,intervention,solver_iterations,converged,runtime_seconds,peak_memory_mb,memory_measurement,solver_last_error,row_mass_l1,col_mass_l1
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.125,1.0,scale_equivalence,S,full_endpoint,I_EXPR,85,True,4.201299500000459,481.4296875,process_rss_after_solve,3.601432041477892e-09,1.1091782279551028,1.1091782279551028
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.125,1.0,scale_equivalence,S,full_endpoint,I_SPATIAL,85,True,4.63448629999948,481.4296875,process_rss_after_solve,3.182087482400675e-09,0.8715953405079342,0.8715953405079342
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.5,2.0,epsilon_scan,shared,base,NONE,45,True,2.5162387999989733,318.546875,process_rss_after_solve,7.600517548667085e-09,3.1098800183885213,3.1098800183885213
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.5,2.0,epsilon_scan,R,full_endpoint,I_EXPR,45,True,2.592940999998973,387.20703125,process_rss_after_solve,8.152198915922781e-09,3.5921210307005476,3.5921210307005476
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.5,2.0,epsilon_scan,R,matched_fd,I_EXPR,45,True,2.4514469000005192,387.20703125,process_rss_after_solve,7.605754248629637e-09,3.114391640464472,3.114391640464472
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.5,2.0,epsilon_scan,R,full_endpoint,I_SPATIAL,45,True,2.392822399999204,404.375,process_rss_after_solve,8.098794523903052e-09,3.5398228272114567,3.5398228272114567
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.5,2.0,epsilon_scan,R,matched_fd,I_SPATIAL,45,True,2.4974562999996124,404.375,process_rss_after_solve,7.604054275134331e-09,3.112699386379179,3.112699386379179
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.5,2.0,epsilon_scan,N,full_endpoint,I_EXPR,45,True,2.4624081999991176,421.54296875,process_rss_after_solve,7.870065488191358e-09,3.3538849480781288,3.3538849480781288
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.5,2.0,epsilon_scan,N,matched_fd,I_EXPR,45,True,2.5723404999989725,421.54296875,process_rss_after_solve,7.602237062087625e-09,3.111588571899518,3.111588571899518
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.5,2.0,epsilon_scan,N,full_endpoint,I_SPATIAL,45,True,2.4145086999997147,438.7109375,process_rss_after_solve,7.583989436454885e-09,3.067840395340231,3.067840395340231
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.5,2.0,epsilon_scan,N,matched_fd,I_SPATIAL,45,True,2.1378813999999693,438.7109375,process_rss_after_solve,7.598822016063878e-09,3.1081902380388216,3.1081902380388216
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,1.0,tau_scan,shared,base,NONE,45,True,2.393603799999255,318.0,process_rss_after_solve,6.822394205130422e-09,2.501148911683294,2.501148911683294
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,1.0,tau_scan,R,full_endpoint,I_EXPR,45,True,2.4830170999994152,386.671875,process_rss_after_solve,7.870065488191358e-09,3.3538849480781288,3.3538849480781288
