method,epsilon,tau,grid_role,arm,intervention,score,claim_status,gate_family,independent_units,median_spearman,median_top_decile_overlap,median_nmae,unit_gate_pass_fraction,spearman_gate_pass,overlap_gate_pass,nmae_gate_pass,gate_pass,witness,median_nex_aurc,median_relative_fixed_qc_gain,positive_unit_fraction,positive_technology_count,leave_one_unit_out_fixed_qc_low,negative_control_pass_fraction,leakage_control_pass_fraction,confound_direction_pass_fraction,sensitivity_external_gate,sensitivity_external_gate_with_controls,registered_gate_status,confirmatory
row_softmax,0.5,,epsilon_scan,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9860725493655775,0.8583333333333334,0.6492714434893481,0.6666666666666666,True,True,True,True,,,,,,,,,,,,,
row_softmax,0.5,,epsilon_scan,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9860725493655775,0.8583333333333334,0.6492714434893481,0.6666666666666666,True,True,True,True,,,,,,,,,,,,,
row_softmax,0.5,,epsilon_scan,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9895966344873932,0.8233333333333333,1.2661929614831928,0.0,True,True,False,False,,,,,,,,,,,,,
row_softmax,0.5,,epsilon_scan,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9895966344873932,0.8233333333333333,1.2661929614831928,0.0,True,True,False,False,,,,,,,,,,,,,
uot,0.1,1.0,interaction_corner,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9087302154356514,0.6183333333333333,3.338450432590341,0.0,True,True,False,False,,,,,,,,,,,,,
uot,0.1,1.0,interaction_corner,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.6987236207660538,0.7083333333333334,5.091091540642091,0.0,False,True,False,False,,,,,,,,,,,,,
uot,0.1,1.0,interaction_corner,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,-0.12991494396219733,0.175,4.068158644840461,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,1.0,interaction_corner,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,-0.3715646238064995,0.03333333333333333,4.735734450003316,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,1.0,interaction_corner,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9783940392862397,0.9166666666666667,0.23003155056827687,1.0,True,True,True,True,,,,,,,,,,,,,
uot,0.1,1.0,interaction_corner,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9783940392862397,0.9166666666666667,0.23003155056827687,1.0,True,True,True,True,,,,,,,,,,,,,
uot,0.1,1.0,interaction_corner,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,-0.4162509476670879,0.018333333333333333,4.779360820199768,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,1.0,interaction_corner,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,-0.4162509476670879,0.018333333333333333,4.779360820199768,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,2.0,epsilon_scan,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.8765119140052952,0.625,4.494637142276597,0.0,True,True,False,False,,,,,,,,,,,,,
uot,0.1,2.0,epsilon_scan,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.5033430085968927,0.535,6.681475361445956,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,2.0,epsilon_scan,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,-0.2681598942932864,0.12166666666666666,4.2230168583086085,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,2.0,epsilon_scan,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,-0.3704089735150994,0.03,4.570455015076961,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,2.0,epsilon_scan,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9784082606258937,0.9216666666666666,0.30343850046754994,1.0,True,True,True,True,,,,,,,,,,,,,
uot,0.1,2.0,epsilon_scan,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9784082606258937,0.9216666666666666,0.30343850046754994,1.0,True,True,True,True,,,,,,,,,,,,,
uot,0.1,2.0,epsilon_scan,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,-0.42940469484653104,0.016666666666666666,4.813310616602122,0.0,False,False,False,False,,,,,,,,,,,,,
