dataset,pair_type,biological_pair_id,direction,pair_id,independent_unit_id,method,epsilon,tau,grid_role,parameter_index,pair_file_id,arm,stage,intervention,expression_weight,spatial_weight,ce_positive_median,cs_positive_median,mixed_cost_positive_median,cost_over_epsilon_q05,cost_over_epsilon_median,cost_over_epsilon_q95,plan_entropy,transported_mass,solver_iterations,converged,runtime_seconds,peak_memory_mb,memory_measurement,solver_last_error,row_mass_l1,col_mass_l1
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.1,2.0,epsilon_scan,0,DLPFCML_151507_151508,R,full_endpoint,I_EXPR,0.0,0.5,1.0,1.0,0.5,0.34576462970610894,5.0,17.148663996871583,13.348572807064459,1.3563671660068517,185,True,9.95108750000145,387.34375,process_rss_after_solve,9.50276657363247e-09,0.35636716600685225,0.35636716600685225
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.1,2.0,epsilon_scan,0,DLPFCML_151507_151508,R,matched_fd,I_EXPR,0.495,0.5,1.0,1.0,1.0113907827151736,4.2608502708717,10.113907827151735,22.898250789721427,13.247942339547308,1.2057543350281366,185,True,10.013358700000026,387.34375,process_rss_after_solve,6.391374540726247e-09,0.20626043978947817,0.2058219739987431
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.1,2.0,epsilon_scan,0,DLPFCML_151507_151508,R,full_endpoint,I_SPATIAL,0.5,0.0,1.0,1.0,0.5,2.801084495426634,5.0,7.7612361755708035,14.564326150247862,1.2647560444080856,185,True,9.959792800000287,404.51171875,process_rss_after_solve,7.957904557542861e-09,0.2648463622230476,0.26475604440808653
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.1,2.0,epsilon_scan,0,DLPFCML_151507_151508,R,matched_fd,I_SPATIAL,0.5,0.495,1.0,1.0,1.0117803649150217,4.288290413225178,10.117803649150217,22.789345106358336,13.2541208952232,1.2045863110574937,185,True,9.244631800000207,404.51171875,process_rss_after_solve,6.371020377926584e-09,0.2051171748120824,0.20466166914623712
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.1,2.0,epsilon_scan,0,DLPFCML_151507_151508,N,full_endpoint,I_EXPR,0.0,1.0,1.0,1.0,1.0,0.6915292594122179,10.0,34.29732799374317,12.792535804298032,1.3364088433741799,185,True,9.888109599998643,421.6796875,process_rss_after_solve,9.039571757796239e-09,0.3364088433741803,0.33640884337418
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.1,2.0,epsilon_scan,0,DLPFCML_151507_151508,N,matched_fd,I_EXPR,0.495,0.505,1.0,1.0,1.0162614441637685,4.268908321571044,10.162614441637682,23.067015338618386,13.240440769416189,1.2055207189108696,185,True,10.029388499999186,421.6796875,process_rss_after_solve,6.38431618682489e-09,0.20602881190715466,0.20558876969008447
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.1,2.0,epsilon_scan,0,DLPFCML_151507_151508,N,full_endpoint,I_SPATIAL,1.0,0.0,1.0,1.0,1.0,5.602168990853268,10.0,15.522472351141607,14.400487917487135,1.1254856362820544,180,True,9.30606919999991,438.84765625,process_rss_after_solve,8.928094707982837e-09,0.1387298221570665,0.1469602543974451
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.1,2.0,epsilon_scan,0,DLPFCML_151507_151508,N,matched_fd,I_SPATIAL,0.505,0.495,1.0,1.0,1.0171058514682074,4.323247095829888,10.171058514682073,22.850867030224403,13.2527284172331,1.2031847286400883,185,True,9.952017699999487,438.84765625,process_rss_after_solve,6.343599423530577e-09,0.20374225016080877,0.2032681919262222
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,1,DLPFCML_151507_151508,shared,base,NONE,0.5,0.5,1.0,1.0,1.016640870679555,1.7184690385445225,4.06656348271822,9.18341523413648,13.961261738265105,1.9387410165573709,85,True,4.584715299999516,319.328125,process_rss_after_solve,3.2542066819019055e-09,0.9387410165573696,0.9387410165573696
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,1,DLPFCML_151507_151508,R,full_endpoint,I_EXPR,0.0,0.5,1.0,1.0,0.5,0.13830585188244357,2.0,6.859465598748634,13.989127723971386,2.178358260090314,85,True,4.656357799998659,388.0,process_rss_after_solve,3.758674260723183e-09,1.178358260090314,1.1783582600903137
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,1,DLPFCML_151507_151508,R,matched_fd,I_EXPR,0.495,0.5,1.0,1.0,1.0113907827151736,1.7043401083486798,4.045563130860694,9.15930031588857,13.961641064143322,1.9409693399433423,85,True,4.613600499998938,388.0,process_rss_after_solve,3.25884297325274e-09,0.940969339943342,0.9409693399433421
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,1,DLPFCML_151507_151508,R,full_endpoint,I_SPATIAL,0.5,0.0,1.0,1.0,0.5,1.1204337981706536,2.0,3.1044944702283215,14.614826523353509,2.0999121837608876,85,True,4.666959800000768,405.16796875,process_rss_after_solve,3.6208724907282885e-09,1.0999121837608898,1.0999121837608898
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,1,DLPFCML_151507_151508,R,matched_fd,I_SPATIAL,0.5,0.495,1.0,1.0,1.0117803649150217,1.715316165290071,4.047121459660087,9.115738042543335,13.967426471235719,1.9395753432807907,85,True,4.693874599999617,405.16796875,process_rss_after_solve,3.2563773899596526e-09,0.9395753432807902,0.9395753432807903
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,1,DLPFCML_151507_151508,N,full_endpoint,I_EXPR,0.0,1.0,1.0,1.0,1.0,0.27661170376488714,4.0,13.718931197497268,13.520399956447491,2.1091782279551023,85,True,4.674679199999446,422.3203125,process_rss_after_solve,3.601432041477892e-09,1.1091782279551028,1.1091782279551028
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,1,DLPFCML_151507_151508,N,matched_fd,I_EXPR,0.495,0.505,1.0,1.0,1.0162614441637685,1.707563328628418,4.065045776655074,9.226806135447356,13.955516115236765,1.94014097469577,85,True,4.614173299998583,422.3203125,process_rss_after_solve,3.2566891405849674e-09,0.9401409746957707,0.9401409746957708
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,1,DLPFCML_151507_151508,N,full_endpoint,I_SPATIAL,1.0,0.0,1.0,1.0,1.0,2.240867596341307,4.0,6.208988940456643,14.581577739224265,1.8715953405079357,85,True,4.538663999999699,439.48828125,process_rss_after_solve,3.182087482400675e-09,0.8715953405079342,0.8715953405079342
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.25,2.0,baseline,1,DLPFCML_151507_151508,N,matched_fd,I_SPATIAL,0.505,0.495,1.0,1.0,1.0171058514682074,1.7292988383319552,4.06842340587283,9.140346812089762,13.967045399857657,1.9373490326166911,85,True,4.7604234000009455,439.48828125,process_rss_after_solve,3.2517482040361756e-09,0.9373490326166909,0.9373490326166909
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.125,1.0,scale_equivalence,1,DLPFCML_151507_151508,S,full_endpoint,I_EXPR,0.0,0.5,1.0,1.0,0.5,0.27661170376488714,4.0,13.718931197497268,13.520399956447491,2.1091782279551023,85,True,4.201299500000459,481.4296875,process_rss_after_solve,3.601432041477892e-09,1.1091782279551028,1.1091782279551028
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.125,1.0,scale_equivalence,1,DLPFCML_151507_151508,S,full_endpoint,I_SPATIAL,0.5,0.0,1.0,1.0,0.5,2.240867596341307,4.0,6.208988940456643,14.581577739224265,1.8715953405079357,85,True,4.63448629999948,481.4296875,process_rss_after_solve,3.182087482400675e-09,0.8715953405079342,0.8715953405079342
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,uot,0.5,2.0,epsilon_scan,2,DLPFCML_151507_151508,shared,base,NONE,0.5,0.5,1.0,1.0,1.016640870679555,0.8592345192722612,2.03328174135911,4.59170761706824,14.339467134732256,4.109880018388519,45,True,2.5162387999989733,318.546875,process_rss_after_solve,7.600517548667085e-09,3.1098800183885213,3.1098800183885213
