independent_unit_id	model	pair_purity	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST::E	mlp128_64_32	1.0	0.0	0.0016356881447784236	0.009030729583074468	0.008793402090883468	247.70833333333331	0.5102711010687732	-0.04024118679808453
HER2ST::E	mlp64_32	0.0	0.0016501473697639645	0.007297761610587886	0.019783742062598336	0.012934090255808495	247.29166666666669	0.5363097606748546	-0.04308899313521882
HER2ST::E	mlp64_32	0.5	0.001122721209426412	0.00725042458788091	0.013963484425597049	0.01177425200732321	244.58333333333334	0.49532376980570414	-0.04682589190391202
HER2ST::E	mlp64_32	1.0	0.000641025641025641	0.005353529288034446	0.015365354054085009	0.011748300064282968	242.0	0.5218894714661271	-0.026070654722085845
HER2ST::F	linear32	0.0	0.0019884255913667683	0.007287276657090575	0.019396250010877844	0.011994502933639663	294.83333333333337	0.8565705504045034	0.005913610982436997
HER2ST::F	linear32	0.5	0.0026216206179441475	0.00861645820285526	0.016553645784411066	0.012337992666480052	295.16666666666663	0.8518246467346862	0.004442255652975291
HER2ST::F	linear32	1.0	0.0017734816120455292	0.010822291829778275	0.022087014348505886	0.013152916457888002	296.25	0.8560086426218738	0.007845134243780194
HER2ST::F	mlp128_64_32	0.0	0.0008995771260086902	0.0061182755880114575	0.016196292895941683	0.011009283551200733	285.79166666666663	0.855191356311088	-0.061047022230923176
HER2ST::F	mlp128_64_32	0.5	0.00043402777777777775	0.004454600230664147	0.012222231908550919	0.009482956783882293	302.5	0.8573509092902989	-0.05107093136757612
HER2ST::F	mlp128_64_32	1.0	0.0014626401890717531	0.004933622519167212	0.011530761587551761	0.009741181241736644	312.5	0.8797385766560408	-0.032949734944850206
HER2ST::F	mlp64_32	0.0	0.0024539749395976803	0.01018688439526223	0.01664241209960895	0.01288920322454969	294.0833333333333	0.8506913665469162	-0.024060126782084502
HER2ST::F	mlp64_32	0.5	0.002005786702477879	0.007347764359451017	0.015294001523257193	0.011345215667496893	305.625	0.8529147440495719	-0.03219173854813562
HER2ST::F	mlp64_32	1.0	0.0030170380026607437	0.007252554434868352	0.013968708148331465	0.012154292488145903	303.3333333333333	0.8603607093485504	-0.018849116041868307
HER2ST::G	linear32	0.0	0.0007645259938837921	0.013609237098959075	0.026734672065507184	0.016173795014459858	177.45833333333331	0.2710742399573248	-0.00010745089578752731
HER2ST::G	linear32	0.5	0.004623974858889287	0.01616085294952029	0.034253431779204375	0.022103103855164626	161.29166666666669	0.3211091285987012	0.027871785607809823
HER2ST::G	linear32	1.0	0.004201680672268907	0.027241357200838465	0.053128222186038174	0.027211432291751728	126.5	0.34066166211889914	0.07539818808436394
HER2ST::G	mlp128_64_32	0.0	0.0047911288442215256	0.012797724141590382	0.0302733594663866	0.019611521942366247	189.25	0.26315445250527025	-0.08083011023700237
HER2ST::G	mlp128_64_32	0.5	0.0033374652819585723	0.011086102576204241	0.028980837725607507	0.017715613080504435	174.29166666666669	0.2766931309570859	-0.05429972133909662
HER2ST::G	mlp128_64_32	1.0	0.0014648061059286098	0.007314719792941302	0.01549923505912976	0.01492975338506218	154.54166666666666	0.30286483650243745	-0.0013287299370858814
HER2ST::G	mlp64_32	0.0	0.006133936121338892	0.012081627532027565	0.030762717336680998	0.020262828795132377	182.20833333333334	0.2709623861582043	-0.03719535159567992
HER2ST::G	mlp64_32	0.5	0.00146480610592861	0.01662218591797325	0.03407505538441982	0.01880676241642694	159.25	0.2986476845554773	-0.0024594556452939287
HER2ST::G	mlp64_32	1.0	0.00392369474684447	0.01388354789135185	0.023849893970725934	0.019130419096469953	155.04166666666666	0.32940807316048537	0.013742150394440007
HER2ST::H	linear32	0.0	0.0025559196983307134	0.007189693643822181	0.020311527113191723	0.013634686500161228	239.91666666666669	0.22240411681671435	0.0005904842752594655
HER2ST::H	linear32	0.5	0.004655141466858989	0.011825679527246589	0.020876574013293642	0.016656460097714043	233.20833333333331	0.22621115545483597	0.006157552862229446
HER2ST::H	linear32	1.0	0.0028386605783866058	0.009662828742171321	0.019941687971808116	0.015162208513673739	225.16666666666669	0.20430218404091355	0.016763742197023628
HER2ST::H	mlp128_64_32	0.0	0.0018246126207051426	0.011751116480582571	0.021498524295058934	0.014904996526472735	231.04166666666669	0.2056203005128589	-0.06176411073344449
HER2ST::H	mlp128_64_32	0.5	0.0022465168013113216	0.009809867657403729	0.020533793061337693	0.013395881341877275	243.04166666666669	0.14276234444607594	-0.059389527421444654
HER2ST::H	mlp128_64_32	1.0	0.001141552511415525	0.009468228887756454	0.01754345810996524	0.01263783635743497	224.83333333333331	0.13223255029740827	-0.011964498757151887
HER2ST::H	mlp64_32	0.0	0.00188965733151184	0.008272348265646323	0.018568005237753864	0.01371562501485558	244.375	0.20953268938663266	-0.04145118873566389
HER2ST::H	mlp64_32	0.5	0.0005341880341880341	0.009360297383066443	0.017421248051827154	0.012559915996577768	226.875	0.1584405807582423	-0.024257920711534098
HER2ST::H	mlp64_32	1.0	0.0017123287671232876	0.005091324200913242	0.012691263278525378	0.012108106609558932	230.375	0.1508537897480043	-0.008472150531209383
