independent_unit_id	pair_id	direction	model	pair_purity	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST::E	HER2ST_E1_CONTROLLED__reverse	reverse	mlp128_64_32	1.0	0.0	0.0023079851527553056	0.007292873845074339	0.008224378854146576	277.3333333333333	0.49989001263396765	-0.04745831484130273
HER2ST::E	HER2ST_E1_CONTROLLED__reverse	reverse	mlp64_32	0.0	0.0010548523206751054	0.004588327669508843	0.01450281978214337	0.010267299541967449	277.0	0.5257277128039757	-0.04748826411863168
HER2ST::E	HER2ST_E1_CONTROLLED__reverse	reverse	mlp64_32	0.5	0.0	0.006039741012994138	0.015557672102818476	0.010359890773461607	275.1666666666667	0.49186385080347933	-0.044174563605338335
HER2ST::E	HER2ST_E1_CONTROLLED__reverse	reverse	mlp64_32	1.0	0.0	0.0023079851527553056	0.014189186667338488	0.01041365020064148	254.83333333333334	0.5163432128347675	-0.02020318352151662
HER2ST::F	HER2ST_F1_CONTROLLED	forward	linear32	0.0	0.0020173917232740764	0.008891202365467072	0.023506879205408615	0.013222184966932282	252.5	0.8784557870035812	0.008638672394833216
HER2ST::F	HER2ST_F1_CONTROLLED	forward	linear32	0.5	0.0044099079025549616	0.010813997486791604	0.01747615764159882	0.014128826723529464	267.0	0.8798889129771483	0.0016268667144080002
HER2ST::F	HER2ST_F1_CONTROLLED	forward	linear32	1.0	0.0017825311942959	0.01072015364294776	0.020854536019977197	0.014230832974976735	262.5	0.876837482536012	0.008951791411467033
HER2ST::F	HER2ST_F1_CONTROLLED	forward	mlp128_64_32	0.0	0.0008680555555555555	0.00748379562717798	0.015882066893096305	0.011642638262270322	250.5	0.8787834876989288	-0.055848480512698494
HER2ST::F	HER2ST_F1_CONTROLLED	forward	mlp128_64_32	0.5	0.0008680555555555555	0.003518642305407011	0.013911095253007018	0.010275290138607264	274.1666666666667	0.864077730805672	-0.05170476840188106
HER2ST::F	HER2ST_F1_CONTROLLED	forward	mlp128_64_32	1.0	0.0019941816816816814	0.0062406156156156155	0.014779903566668274	0.011128456812913712	270.9166666666667	0.8855412481331598	-0.023258315709729988
HER2ST::F	HER2ST_F1_CONTROLLED	forward	mlp64_32	0.0	0.0020173917232740764	0.010673733559762972	0.020596465449406628	0.013853083447696729	252.91666666666666	0.878057452505982	-0.02036993158981204
HER2ST::F	HER2ST_F1_CONTROLLED	forward	mlp64_32	0.5	0.002885447278829632	0.00778828628093334	0.016232977630036453	0.012985147243588617	274.75	0.872122331221596	-0.03414776134256196
HER2ST::F	HER2ST_F1_CONTROLLED	forward	mlp64_32	1.0	0.0031435178494002027	0.008281217380482086	0.014708517006311124	0.013195763270272989	271.8333333333333	0.8706450434391612	-0.023087955235193174
HER2ST::F	HER2ST_F1_CONTROLLED__reverse	reverse	linear32	0.0	0.00195945945945946	0.005683350948714077	0.015285620816347073	0.010766820900347042	337.1666666666667	0.8346853138054255	0.0031885495700407773
HER2ST::F	HER2ST_F1_CONTROLLED__reverse	reverse	linear32	0.5	0.0008333333333333334	0.006418918918918919	0.015631133927223314	0.01054715860943064	323.3333333333333	0.8237603804922241	0.007257644591542582
