dataset	pair_id	pair_type	independent_unit_id	cohort_role	direction	pair_file_id	method	epsilon	tau	variant	stage	converged	iterations	seconds	arm	intervention	t
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.5490910000080476	R	I_SPATIAL	0.000625
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.5147563999926206	R	I_SPATIAL	0.01
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.5179538000083994	R	I_SPATIAL	1.0
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.534398899995722	N	I_SPATIAL	0.00125
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.4975459999986924	N	I_SPATIAL	0.000625
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.5517436000081943	N	I_SPATIAL	0.01
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.5256516999943415	N	I_SPATIAL	1.0
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	row_softmax	0.25		baseline	base	True	1	0.045177300009527244			
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	row_softmax	0.25		label_free_rigid	base	True	1	0.03865590000350494			
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.04154370000469498	R	I_SPATIAL	0.00125
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.037505400003283285	R	I_SPATIAL	0.000625
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.03482319999602623	R	I_SPATIAL	0.01
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.036425500002224	R	I_SPATIAL	1.0
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.04297279998718295	N	I_SPATIAL	0.00125
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.037449800001922995	N	I_SPATIAL	0.000625
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.03715599999122787	N	I_SPATIAL	0.01
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.036696500013931654	N	I_SPATIAL	1.0
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	balanced_ot	0.25		baseline	base	True	200	8.306434800004354			
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	balanced_ot	0.25		label_free_rigid	base	True	200	8.225646699997014			
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.216021100000944	R	I_SPATIAL	0.00125
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.315321300004143	R	I_SPATIAL	0.000625
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.312173600003007	R	I_SPATIAL	0.01
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.118095700003323	R	I_SPATIAL	1.0
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.233942399994703	N	I_SPATIAL	0.00125
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.28852740000002	N	I_SPATIAL	0.000625
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.30252830000245	N	I_SPATIAL	0.01
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.316442099996493	N	I_SPATIAL	1.0
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	uot	0.25	2.0	baseline	base	True	85	3.504249300007359			
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid	base	True	85	3.5191970000014408			
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.5724136999924667	R	I_SPATIAL	0.00125
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.563134000010905	R	I_SPATIAL	0.000625
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.4968006999988575	R	I_SPATIAL	0.01
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.4707035000028554	R	I_SPATIAL	1.0
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.5319826000049943	N	I_SPATIAL	0.00125
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.5640402999997605	N	I_SPATIAL	0.000625
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.506041600005119	N	I_SPATIAL	0.01
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.5171745999978157	N	I_SPATIAL	1.0
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	row_softmax	0.25		baseline	base	True	1	0.03974000000744127			
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	row_softmax	0.25		label_free_rigid	base	True	1	0.03750769999169279			
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.0373978999996325	R	I_SPATIAL	0.00125
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.03742649999912828	R	I_SPATIAL	0.000625
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.03640169999562204	R	I_SPATIAL	0.01
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.03624269999272656	R	I_SPATIAL	1.0
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.03789209999376908	N	I_SPATIAL	0.00125
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.037372799997683614	N	I_SPATIAL	0.000625
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.03983100000186823	N	I_SPATIAL	0.01
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	row_softmax	0.25		label_free_rigid	coordinate_response	True	1	0.03705939999781549	N	I_SPATIAL	1.0
spatialDLPFC	SDLPFC_Br8492_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8492	primary_expansion	forward	SDLPFC_Br8492_ANT_MID	balanced_ot	0.25		baseline	base	True	200	8.245278000002145			
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid	base	True	200	8.340513600007398			
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.367550499999197	R	I_SPATIAL	0.00125
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.231211799997254	R	I_SPATIAL	0.000625
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.337721399992006	R	I_SPATIAL	0.01
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.18629620000138	R	I_SPATIAL	1.0
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.287794100004248	N	I_SPATIAL	0.00125
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.257444400005625	N	I_SPATIAL	0.000625
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.2493558999995	N	I_SPATIAL	0.01
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid	coordinate_response	True	200	8.22580860000744	N	I_SPATIAL	1.0
spatialDLPFC	SDLPFC_Br8492_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8492	primary_expansion	forward	SDLPFC_Br8492_ANT_MID	uot	0.25	2.0	baseline	base	True	85	3.5164344999939203			
spatialDLPFC	SDLPFC_Br8492_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8492	primary_expansion	forward	SDLPFC_Br8492_ANT_MID	uot	0.25	2.0	label_free_rigid	base	True	85	3.517731600004481			
spatialDLPFC	SDLPFC_Br8492_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8492	primary_expansion	forward	SDLPFC_Br8492_ANT_MID	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.4352085999998963	R	I_SPATIAL	0.00125
spatialDLPFC	SDLPFC_Br8492_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8492	primary_expansion	forward	SDLPFC_Br8492_ANT_MID	uot	0.25	2.0	label_free_rigid	coordinate_response	True	85	3.5410241999925347	R	I_SPATIAL	0.000625
