independent_unit_id	cohort_role	method	epsilon	tau	variant	arm	intervention	score	spatial_cost_pearson_vs_baseline	spatial_cost_scale_ratio	local_fidelity_n_estimable	local_fidelity_spearman	local_fidelity_top_overlap	local_fidelity_raw_mae	local_fidelity_rmae	local_fidelity_intercept	local_fidelity_slope	local_fidelity_r2	endpoint_transfer_n_estimable	endpoint_transfer_spearman	endpoint_transfer_top_overlap	endpoint_transfer_raw_mae	endpoint_transfer_rmae	endpoint_transfer_intercept	endpoint_transfer_slope	endpoint_transfer_r2	heldout_aurc	heldout_oracle_aurc	heldout_random_aurc	heldout_normalized_excess_aurc	heldout_retained_loss_at_80pct_coverage	heldout_retained_loss_at_90pct_coverage
HER2ST::D	manual_truth_controlled	row_softmax	0.25		her2_oracle	R	I_SPATIAL	finite_response_h001	0.9787416002522523	0.9955181811294932	229.5	0.9999356965200537	1.0	0.0011043747483825595	0.003918042857919158	0.0005971098164419878	0.993991083011785	0.9999708389629185	229.5	0.6921797432620294	0.5228937728937729	0.18188894359370233	0.39219954390338463	-0.01331210719616753	1.690753820309382	0.5098038332697383	0.13989216938869986	0.1117945981790494	0.14345602335539462	0.8897159947070562	0.14021915511028468	0.1395602065979022
HER2ST::D	manual_truth_controlled	row_softmax	0.25		her2_oracle	R	I_SPATIAL	local_reference	0.9787416002522523	0.9955181811294932	229.5	0.9999356965200537	1.0	0.0011043747483825595	0.003918042857919158	0.0005971098164419878	0.993991083011785	0.9999708389629185	229.5	0.6921797432620294	0.5228937728937729	0.18188894359370233	0.39219954390338463	-0.01331210719616753	1.690753820309382	0.5098038332697383	0.13989850339966695	0.1117945981790494	0.14345602335539462	0.8899263571923708	0.1402191551102847	0.13902322342765822
HER2ST::D	manual_truth_controlled	row_softmax	0.25		label_free_rigid	N	I_SPATIAL	endpoint_response	-0.07351760627608403	1.0371473182613369	229.5	0.9998910859400811	1.0	0.0010825204190171877	0.0038536131329652053	0.000279229482493346	0.9951706336853468	0.9999410763583034	229.5	0.45274286469147174	0.3058608058608059	0.18615481111464488	0.3985618677518894	0.08373541126024907	1.3647522499801028	0.23149768965458356	0.1508410456348082	0.1211296849849008	0.1546525948399199	0.8862893111140835	0.15214636477735835	0.15281251965347808
HER2ST::D	manual_truth_controlled	row_softmax	0.25		label_free_rigid	N	I_SPATIAL	finite_response_h001	-0.07351760627608403	1.0371473182613369	229.5	0.9998910859400811	1.0	0.0010825204190171877	0.0038536131329652053	0.000279229482493346	0.9951706336853468	0.9999410763583034	229.5	0.45274286469147174	0.3058608058608059	0.18615481111464488	0.3985618677518894	0.08373541126024907	1.3647522499801028	0.23149768965458356	0.14613966821762714	0.1211296849849008	0.1546525948399199	0.7480709083417731	0.14499408629936328	0.1483645409593456
HER2ST::D	manual_truth_controlled	row_softmax	0.25		label_free_rigid	N	I_SPATIAL	local_reference	-0.07351760627608403	1.0371473182613369	229.5	0.9998910859400811	1.0	0.0010825204190171877	0.0038536131329652053	0.000279229482493346	0.9951706336853468	0.9999410763583034	229.5	0.45274286469147174	0.3058608058608059	0.18615481111464488	0.3985618677518894	0.08373541126024907	1.3647522499801028	0.23149768965458356	0.14609797352952175	0.1211296849849008	0.1546525948399199	0.7468368649767994	0.14499408629936328	0.1481053539298443
HER2ST::D	manual_truth_controlled	row_softmax	0.25		label_free_rigid	R	I_SPATIAL	endpoint_response	-0.07351760627608403	1.0371473182613369	229.5	0.99991702675943	1.0	0.001099208611112194	0.003930186551614955	0.0006027195076937516	0.9939381864141363	0.9999512318795865	229.5	0.5921372433498873	0.28205128205128205	0.1859918205224403	0.399402680504804	-0.019513924023595867	1.7350228875114004	0.3552212853333685	0.15113515487066287	0.1211296849849008	0.1546525948399199	0.8949848977432295	0.15202569626423762	0.1526106824420724
HER2ST::D	manual_truth_controlled	row_softmax	0.25		label_free_rigid	R	I_SPATIAL	finite_response_h001	-0.07351760627608403	1.0371473182613369	229.5	0.99991702675943	1.0	0.001099208611112194	0.003930186551614955	0.0006027195076937516	0.9939381864141363	0.9999512318795865	229.5	0.5921372433498873	0.28205128205128205	0.1859918205224403	0.399402680504804	-0.019513924023595867	1.7350228875114004	0.3552212853333685	0.14624773244727976	0.1211296849849008	0.1546525948399199	0.7508890616279109	0.14649904582857587	0.14889903591843406
HER2ST::D	manual_truth_controlled	row_softmax	0.25		label_free_rigid	R	I_SPATIAL	local_reference	-0.07351760627608403	1.0371473182613369	229.5	0.99991702675943	1.0	0.001099208611112194	0.003930186551614955	0.0006027195076937516	0.9939381864141363	0.9999512318795865	229.5	0.5921372433498873	0.28205128205128205	0.1859918205224403	0.399402680504804	-0.019513924023595867	1.7350228875114004	0.3552212853333685	0.14623499044929872	0.1211296849849008	0.1546525948399199	0.7504761693182074	0.14649904582857587	0.14885182316682155
HER2ST::D	manual_truth_controlled	uot	0.25	2.0	baseline	N	I_SPATIAL	endpoint_response	1.0	1.0	229.5	0.9998894519952773	1.0	0.000965047118944498	0.003407323131925634	0.0007354160435060773	0.9940165140771621	0.9999212578969883	229.5	0.3053860762275745	0.2967032967032967	0.16581316357563688	0.37131511258402017	0.12192112249910164	1.1461099378547797	0.11196452062322182	0.14285142273744866	0.11253977590958544	0.14349393737140667	0.9790744170125373	0.1428346682739784	0.14201616027800654
HER2ST::D	manual_truth_controlled	uot	0.25	2.0	baseline	N	I_SPATIAL	finite_response_h001	1.0	1.0	229.5	0.9998894519952773	1.0	0.000965047118944498	0.003407323131925634	0.0007354160435060773	0.9940165140771621	0.9999212578969883	229.5	0.3053860762275745	0.2967032967032967	0.16581316357563688	0.37131511258402017	0.12192112249910164	1.1461099378547797	0.11196452062322182	0.13682678355976546	0.11253977590958544	0.14349393737140667	0.7879205990871632	0.13680298471368946	0.13886452466039428
