dataset	pair_id	pair_type	independent_unit_id	cohort_role	direction	pair_file_id	method	epsilon	tau	variant	arm	intervention	score	spatial_cost_pearson_vs_baseline	spatial_cost_scale_ratio	local_fidelity_n_estimable	local_fidelity_spearman	local_fidelity_top_overlap	local_fidelity_raw_mae	local_fidelity_rmae	local_fidelity_intercept	local_fidelity_slope	local_fidelity_r2	endpoint_transfer_n_estimable	endpoint_transfer_spearman	endpoint_transfer_top_overlap	endpoint_transfer_raw_mae	endpoint_transfer_rmae	endpoint_transfer_intercept	endpoint_transfer_slope	endpoint_transfer_r2	heldout_aurc	heldout_oracle_aurc	heldout_random_aurc	heldout_normalized_excess_aurc	heldout_retained_loss_at_80pct_coverage	heldout_retained_loss_at_90pct_coverage
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	within_section_controlled_combined	HER2ST::D	manual_truth_controlled	reverse	HER2ST_D1_CONTROLLED__reverse	row_softmax	0.25		baseline	N	I_SPATIAL	finite_response_h001	1.0	1.0	204	0.9999010537772721	1.0	0.0010982696326270582	0.0039997579066318725	0.00048520869923262346	0.9942561479218028	0.9999384205871993	204	0.4620378681329555	0.19047619047619047	0.18832821301385022	0.40683351351652347	0.06954783204330488	1.432582995856185	0.23513219470014413	0.13954483189474118	0.1170683163463282	0.14959370740547173	0.6910452054993628	0.13879307797360652	0.141948695668733
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	within_section_controlled_combined	HER2ST::D	manual_truth_controlled	reverse	HER2ST_D1_CONTROLLED__reverse	row_softmax	0.25		baseline	N	I_SPATIAL	local_reference	1.0	1.0	204	0.9999010537772721	1.0	0.0010982696326270582	0.0039997579066318725	0.00048520869923262346	0.9942561479218028	0.9999384205871993	204	0.4620378681329555	0.19047619047619047	0.18832821301385022	0.40683351351652347	0.06954783204330488	1.432582995856185	0.23513219470014413	0.13951703518795147	0.1170683163463282	0.14959370740547173	0.690190589893384	0.13879307797360652	0.141948695668733
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	within_section_controlled_combined	HER2ST::D	manual_truth_controlled	reverse	HER2ST_D1_CONTROLLED__reverse	row_softmax	0.25		baseline	N	I_SPATIAL	endpoint_response	1.0	1.0	204	0.9999010537772721	1.0	0.0010982696326270582	0.0039997579066318725	0.00048520869923262346	0.9942561479218028	0.9999384205871993	204	0.4620378681329555	0.19047619047619047	0.18832821301385022	0.40683351351652347	0.06954783204330488	1.432582995856185	0.23513219470014413	0.14776054820045825	0.1170683163463282	0.14959370740547173	0.9436391340635967	0.1470558561360316	0.15035641130209743
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	within_section_controlled_combined	HER2ST::D	manual_truth_controlled	reverse	HER2ST_D1_CONTROLLED__reverse	row_softmax	0.25		label_free_rigid	R	I_SPATIAL	finite_response_h001	-0.07577971494710306	0.989682005349635	204	0.9998883321200641	1.0	0.0010955436409234736	0.003920995639720888	0.0007249004375194312	0.9935100032017407	0.9999360021748908	204	0.5690764783625814	0.3333333333333333	0.18637965736886505	0.400141725152769	-0.0868195370212424	1.977791125761003	0.34449328781311805	0.14997749553008646	0.12579637004719252	0.16036791261385414	0.6994517365335192	0.14928304280891863	0.15270469399886066
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	within_section_controlled_combined	HER2ST::D	manual_truth_controlled	reverse	HER2ST_D1_CONTROLLED__reverse	row_softmax	0.25		label_free_rigid	R	I_SPATIAL	local_reference	-0.07577971494710306	0.989682005349635	204	0.9998883321200641	1.0	0.0010955436409234736	0.003920995639720888	0.0007249004375194312	0.9935100032017407	0.9999360021748908	204	0.5690764783625814	0.3333333333333333	0.18637965736886505	0.400141725152769	-0.0868195370212424	1.977791125761003	0.34449328781311805	0.1499994649286465	0.12579637004719252	0.16036791261385414	0.700087212908855	0.14928304280891863	0.1526102684956356
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	within_section_controlled_combined	HER2ST::D	manual_truth_controlled	reverse	HER2ST_D1_CONTROLLED__reverse	row_softmax	0.25		label_free_rigid	R	I_SPATIAL	endpoint_response	-0.07577971494710306	0.989682005349635	204	0.9998883321200641	1.0	0.0010955436409234736	0.003920995639720888	0.0007249004375194312	0.9935100032017407	0.9999360021748908	204	0.5690764783625814	0.3333333333333333	0.18637965736886505	0.400141725152769	-0.0868195370212424	1.977791125761003	0.34449328781311805	0.15683535468354198	0.12579637004719252	0.16036791261385414	0.8978189091938668	0.15945594193971493	0.16002684220675303
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	within_section_controlled_combined	HER2ST::D	manual_truth_controlled	reverse	HER2ST_D1_CONTROLLED__reverse	row_softmax	0.25		label_free_rigid	N	I_SPATIAL	finite_response_h001	-0.07577971494710306	0.989682005349635	204	0.999848753630973	1.0	0.0010847890553016834	0.0038642000922316216	0.00043232546657641043	0.9946165868565109	0.9999243516075731	204	0.4516753715784043	0.38095238095238093	0.18577711042905679	0.3982316965572559	0.01662900037041514	1.602533865266214	0.2368557899479724	0.14943197918425563	0.12579637004719252	0.16036791261385414	0.6836723901309409	0.1471288919769874	0.1530415624663247
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	within_section_controlled_combined	HER2ST::D	manual_truth_controlled	reverse	HER2ST_D1_CONTROLLED__reverse	row_softmax	0.25		label_free_rigid	N	I_SPATIAL	local_reference	-0.07577971494710306	0.989682005349635	204	0.999848753630973	1.0	0.0010847890553016834	0.0038642000922316216	0.00043232546657641043	0.9946165868565109	0.9999243516075731	204	0.4516753715784043	0.38095238095238093	0.18577711042905679	0.3982316965572559	0.01662900037041514	1.602533865266214	0.2368557899479724	0.14937856996459464	0.12579637004719252	0.16036791261385414	0.6821275004414513	0.1471288919769874	0.1530415624663247
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	within_section_controlled_combined	HER2ST::D	manual_truth_controlled	reverse	HER2ST_D1_CONTROLLED__reverse	row_softmax	0.25		label_free_rigid	N	I_SPATIAL	endpoint_response	-0.07577971494710306	0.989682005349635	204	0.999848753630973	1.0	0.0010847890553016834	0.0038642000922316216	0.00043232546657641043	0.9946165868565109	0.9999243516075731	204	0.4516753715784043	0.38095238095238093	0.18577711042905679	0.3982316965572559	0.01662900037041514	1.602533865266214	0.2368557899479724	0.15644875806468178	0.12579637004719252	0.16036791261385414	0.8866363992403477	0.15948628185126357	0.16043051662956437
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	within_section_controlled_combined	HER2ST::D	manual_truth_controlled	reverse	HER2ST_D1_CONTROLLED__reverse	row_softmax	0.25		her2_oracle	R	I_SPATIAL	finite_response_h001	0.9810824119773311	0.9556032773962069	204	0.9999307376440906	1.0	0.0010905494306881433	0.0038944771774389163	0.0004179389351824824	0.9946339130221705	0.9999687731616078	204	0.5687612639673195	0.23809523809523808	0.18505840153464106	0.3979040283147511	0.06900687916796225	1.4144333054017408	0.3393868085044298	0.13860210855590083	0.11648421942863804	0.14850790366968752	0.6906728457842781	0.14003189136423647	0.14204061155724762
