dataset,pair_type,biological_pair_id,direction,pair_id,independent_unit_id,method,epsilon,tau,grid_role,parameter_index,pair_file_id,arm,intervention,score,spearman,top_decile_overlap,raw_mae,reference_mad,nmae,reference_response_median,reference_response_iqr,estimable,spearman_gate_pass,overlap_gate_pass,nmae_gate_pass,gate_pass,claim_status
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,2.0,baseline,1,SDLPFC_Br2720_ANT_MID,R,I_EXPR,registered_finite_difference_fixed_score,0.998904344401931,0.9866666666666667,0.00035722444796310184,0.0077115222735765244,0.046323467052300275,0.06182058373427682,0.01610255546483161,True,True,True,True,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,2.0,baseline,1,SDLPFC_Br2720_ANT_MID,R,I_SPATIAL,matched_finite_difference,0.5473416157073848,0.44,0.17753678817688343,0.07473579784589063,2.3755254281619385,0.47110709387334293,0.15610245115006416,True,False,False,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,2.0,baseline,1,SDLPFC_Br2720_ANT_MID,R,I_SPATIAL,registered_finite_difference_fixed_score,0.5473416157073848,0.44,0.17753678817688343,0.07473579784589063,2.3755254281619385,0.47110709387334293,0.15610245115006416,True,False,False,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,2.0,baseline,1,SDLPFC_Br2720_ANT_MID,N,I_EXPR,matched_finite_difference,0.7523820055031137,0.44,0.07784045911381508,0.013170069314460534,5.910406183538264,0.22305252681083834,0.02646439744696391,True,True,False,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,2.0,baseline,1,SDLPFC_Br2720_ANT_MID,N,I_EXPR,registered_finite_difference_fixed_score,0.42676241900551964,0.3466666666666667,0.15785832273520592,0.013170069314460534,11.986142135324975,0.22305252681083834,0.02646439744696391,True,False,False,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,2.0,baseline,1,SDLPFC_Br2720_ANT_MID,N,I_SPATIAL,matched_finite_difference,0.6235653224734767,0.47333333333333333,0.1688397577948581,0.07587662633569778,2.225187991989357,0.48098545731582154,0.15853400718659394,True,False,False,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,2.0,baseline,1,SDLPFC_Br2720_ANT_MID,N,I_SPATIAL,registered_finite_difference_fixed_score,0.5549183337414817,0.42,0.18892413810568237,0.07587662633569778,2.489885847979498,0.48098545731582154,0.15853400718659394,True,False,False,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,1.0,tau_scan,3,SDLPFC_Br2720_ANT_MID,R,I_EXPR,matched_finite_difference,0.9996162664961186,1.0,0.0006774368094317573,0.01565776782925247,0.04326522252847195,0.10844220368107133,0.032196762283937044,True,True,True,True,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,1.0,tau_scan,3,SDLPFC_Br2720_ANT_MID,R,I_EXPR,registered_finite_difference_fixed_score,0.9996162664961186,1.0,0.0006774368094317573,0.01565776782925247,0.04326522252847195,0.10844220368107133,0.032196762283937044,True,True,True,True,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,1.0,tau_scan,3,SDLPFC_Br2720_ANT_MID,R,I_SPATIAL,matched_finite_difference,0.5774559508693116,0.4666666666666667,0.17605191159784492,0.07448799017161412,2.363493916163344,0.4659234884626181,0.15361752984336813,True,False,False,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.25,1.0,tau_scan,3,SDLPFC_Br2720_ANT_MID,R,I_SPATIAL,registered_finite_difference_fixed_score,0.5774559508693116,0.4666666666666667,0.17605191159784492,0.07448799017161412,2.363493916163344,0.4659234884626181,0.15361752984336813,True,False,False,False,False,post-review sensitivity analysis; amended sample expansion
