method	strategy	coverage	metric	n_independent_units	median	q25	q75
row_softmax	all_top1	1.0	top1	8	0.0037309864625761817	0.0022408026755852844	0.0046373070504797664
row_softmax	all_top1	1.0	top5	8	0.024230518785098992	0.022549276288769224	0.027683070820323348
row_softmax	all_top1	1.0	top10	8	0.049570004865209905	0.04541574157204122	0.05611838772953995
row_softmax	all_top1	1.0	mean_reciprocal_rank	8	0.02504326384012776	0.024752250343639162	0.02675298862697626
row_softmax	all_top1	1.0	median_true_rank	8	138.375	112.7125	175.175
row_softmax	all_top1	1.0	region_label_accuracy	8	0.4928421540174365	0.2839244189437056	0.8188458207931641
row_softmax	all_top1	1.0	true_pair_cosine	8	0.8023135969004589	0.7835809497246009	0.8348939070521018
row_softmax	identity_no_training	0.0	top1	8	0.9119950049156633	0.8412085618994555	0.9642938039134843
row_softmax	identity_no_training	0.0	top5	8	0.9712413700199429	0.9292672509742794	0.9937421581560248
row_softmax	identity_no_training	0.0	top10	8	0.9844276238085587	0.9548713548524617	0.9969072164948454
row_softmax	identity_no_training	0.0	mean_reciprocal_rank	8	0.9382416032435094	0.880028365294842	0.9779724398041864
row_softmax	identity_no_training	0.0	median_true_rank	8	1.0	1.0	1.2375
row_softmax	identity_no_training	0.0	region_label_accuracy	8	0.9829262975391004	0.9656076014693377	0.9888283937458087
row_softmax	identity_no_training	0.0	true_pair_cosine	8	0.41356613272778897	0.40523052838886275	0.41887142656992077
row_softmax	max_probability_gate	0.8	training_positive_precision	8	0.8601276961392154	0.8001512612127607	0.9394297712681677
row_softmax	max_probability_gate	0.8	top1	8	0.002557698237624232	0.0018749586968014804	0.0035544543904518326
row_softmax	max_probability_gate	0.8	top5	8	0.0207887930894559	0.01882122690650482	0.023778566270727695
row_softmax	max_probability_gate	0.8	top10	8	0.04186473708017666	0.040425130634150486	0.047224601465304
row_softmax	max_probability_gate	0.8	mean_reciprocal_rank	8	0.023208443872876024	0.02206512342635235	0.024478388481785837
row_softmax	max_probability_gate	0.8	median_true_rank	8	141.85	113.225	183.5
row_softmax	max_probability_gate	0.8	region_label_accuracy	8	0.5108729061404189	0.28409720306385816	0.7639773997405326
row_softmax	max_probability_gate	0.8	true_pair_cosine	8	0.8008312628661658	0.7824810896715826	0.8339970001673217
row_softmax	oracle_truth	0.8	training_positive_precision	8	1.0	1.0	1.0
row_softmax	oracle_truth	0.8	top1	8	0.0033017260367845906	0.0023038629111438386	0.0046373070504797664
row_softmax	oracle_truth	0.8	top5	8	0.020120896676112505	0.01911536900531293	0.021989117727594702
row_softmax	oracle_truth	0.8	top10	8	0.042763336720955544	0.04115560317180451	0.04516870173694031
row_softmax	oracle_truth	0.8	mean_reciprocal_rank	8	0.024944544056003375	0.021897815313829002	0.026399886929695728
row_softmax	oracle_truth	0.8	median_true_rank	8	138.125	114.725	183.76250000000002
row_softmax	oracle_truth	0.8	region_label_accuracy	8	0.46814274861891403	0.28695088417411824	0.7783597096820531
row_softmax	oracle_truth	0.8	true_pair_cosine	8	0.8025247734012344	0.7836350809632338	0.8354774154945985
row_softmax	random_gate	0.8	training_positive_precision	8	0.8576025253757743	0.7988479399429419	0.9206340134606206
row_softmax	random_gate	0.8	top1	8	0.0022769745946711255	0.0016395458027528603	0.004169206988900083
row_softmax	random_gate	0.8	top5	8	0.021282440374855882	0.020001889452307804	0.022076794848216966
row_softmax	random_gate	0.8	top10	8	0.04180269883720355	0.04057663688419505	0.04475712956324669
row_softmax	random_gate	0.8	mean_reciprocal_rank	8	0.02346944920343201	0.021818896491893683	0.025136635832301912
row_softmax	random_gate	0.8	median_true_rank	8	142.875	113.9375	186.165
row_softmax	random_gate	0.8	region_label_accuracy	8	0.4908094365959314	0.27840503821517554	0.8163195050036904
