dataset	pair_id	biological_pair_id	independent_unit_id	direction	method	strategy	coverage	training_positive_precision	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	HER2ST_D1_CONTROLLED	HER2ST::D	forward	balanced_ot	max_probability_gate	0.8	0.6908281804126911	0.005263157894736842	0.024659208998105017	0.06726373861482976	0.03202032450524962	95.9	0.42990525093220855	0.8198701821246015
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	HER2ST_D1_CONTROLLED	HER2ST::D	forward	balanced_ot	oracle_truth	0.8	1.0	0.0047619047619047615	0.02844076655052265	0.04807781649245064	0.030791008722972586	91.0	0.3009609389326976	0.821219611576202
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	HER2ST_D1_CONTROLLED	HER2ST::D	forward	balanced_ot	random_gate	0.8	0.6462712560891711	0.006867167919799498	0.022411669417446052	0.05240063573568067	0.032305306290305966	93.32000000000001	0.42500226175194084	0.8202293116663698
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	HER2ST_D1_CONTROLLED	HER2ST::D	forward	balanced_ot	top2_margin_gate	0.8	0.7566437456807367	0.010025062656641603	0.028114493550950546	0.06753270371049575	0.03641294830274981	91.2	0.4339895470383275	0.820483882761808
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	HER2ST_D1_CONTROLLED	HER2ST::D	forward	row_softmax	all_top1	1.0	0.8575201229647235	0.0	0.03415505226480836	0.05712253193960511	0.0314900089997799	89.8	0.42535607310960327	0.8209680638833214
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	HER2ST_D1_CONTROLLED	HER2ST::D	forward	row_softmax	identity_no_training	0.0		0.8201004034476436	0.9184004217861726	0.9466310593557064	0.8640767144855233	1.0	0.9573587933247755	0.4108438353172632
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	HER2ST_D1_CONTROLLED	HER2ST::D	forward	row_softmax	max_probability_gate	0.8	0.8714474760179437	0.0	0.023562717770034842	0.052244483159117304	0.027820794372485514	92.1	0.5066866862277646	0.820200316638753
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	HER2ST_D1_CONTROLLED	HER2ST::D	forward	row_softmax	oracle_truth	0.8	1.0	0.0047619047619047615	0.03260743321718931	0.05783391405342625	0.033434192649916226	92.1	0.34936655663549115	0.8213653830108869
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	HER2ST_D1_CONTROLLED	HER2ST::D	forward	row_softmax	random_gate	0.8	0.8561101028000904	0.002903600464576074	0.027774680603948897	0.05614692218350755	0.030806377560027864	91.14	0.41534531450577666	0.8204395094966603
HER2ST_manual_controlled	HER2ST_D1_CONTROLLED	HER2ST_D1_CONTROLLED	HER2ST::D	forward	row_softmax	top2_margin_gate	0.8	0.9570436897397027	0.004878048780487805	0.02772938443670151	0.04807781649245064	0.03137698808986015	90.5	0.48977030992114434	0.8209611819939271
