dataset	pair_id	biological_pair_id	independent_unit_id	direction	method	representation_features	model	ridge_alpha	fold	strategy	coverage	repeat	source_ids_sha256	n_train_available	n_train_selected	n_test	training_positive_precision	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	uot	cost_features_500	multioutput_ridge	1.0	0	identity_no_training	0.0	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	0	54		0.8148148148148148	0.9259259259259259	0.9629629629629629	0.8613195285551377	1.0	1.0	0.40296361422688975
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	uot	cost_features_500	multioutput_ridge	1.0	0	all_top1	1.0	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	219	54	0.867579908675799	0.0	0.0	0.05555555555555555	0.019039574889776326	104.5	1.0	0.8194250328767425
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	uot	cost_features_500	multioutput_ridge	1.0	0	max_probability_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.8465909090909091	0.0	0.0	0.05555555555555555	0.018390591435548293	106.5	1.0	0.8189107390153958
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	uot	cost_features_500	multioutput_ridge	1.0	0	top2_margin_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.9261363636363636	0.0	0.018518518518518517	0.05555555555555555	0.019967285251515705	107.0	1.0	0.8193254467215846
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	uot	cost_features_500	multioutput_ridge	1.0	0	oracle_truth	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	1.0	0.0	0.0	0.037037037037037035	0.018871403078379114	118.5	1.0	0.8201601228445368
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	uot	cost_features_500	multioutput_ridge	1.0	0	random_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.8522727272727273	0.0	0.0	0.037037037037037035	0.018394720515326292	114.5	1.0	0.8190990687302998
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	uot	cost_features_500	multioutput_ridge	1.0	0	random_gate	0.8	1	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.8579545454545454	0.0	0.0	0.05555555555555555	0.01862415273735984	114.5	0.9814814814814815	0.8191247996257203
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	uot	cost_features_500	multioutput_ridge	1.0	0	random_gate	0.8	2	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.8579545454545454	0.0	0.0	0.018518518518518517	0.016202161013796887	120.0	1.0	0.8185082676552203
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	uot	cost_features_500	multioutput_ridge	1.0	0	random_gate	0.8	3	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.8579545454545454	0.0	0.0	0.037037037037037035	0.017585741212338777	105.5	1.0	0.818732338215994
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	uot	cost_features_500	multioutput_ridge	1.0	0	random_gate	0.8	4	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.8522727272727273	0.0	0.0	0.05555555555555555	0.01824602500197361	117.5	1.0	0.8189305969751637
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	uot	cost_features_500	multioutput_ridge	1.0	1	identity_no_training	0.0	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	0	62		0.8548387096774194	0.9516129032258065	0.9838709677419355	0.8901177675371224	1.0	0.9516129032258065	0.4056671528694717
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	uot	cost_features_500	multioutput_ridge	1.0	1	all_top1	1.0	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	211	62	0.8151658767772512	0.0	0.0	0.0	0.01424813572934271	153.5	0.5161290322580645	0.8129368677448
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	uot	cost_features_500	multioutput_ridge	1.0	1	max_probability_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	169	62	0.7869822485207101	0.0	0.0	0.0	0.014036678499020197	151.0	0.5161290322580645	0.8126434473003934
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	uot	cost_features_500	multioutput_ridge	1.0	1	top2_margin_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	169	62	0.893491124260355	0.0	0.0	0.0	0.01397633474867694	159.0	0.5161290322580645	0.8135497051642662
