independent_unit_id	cohort_role	method	epsilon0	tau0	contrast_type	regularization_regime	u	v	alpha	beta	metric	reference_value	comparison_value	contrast
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.75	0.1875	0.5625	endpoint_response_median	0.032855670850487025	0.11328416745314256	0.08042849660265552
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.75	0.1875	0.5625	endpoint_response_q90	0.03947578121817483	0.13168480268797014	0.09220902146979532
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.75	0.1875	0.5625	h001_response_mean	0.03457846131420156	0.10068838199062993	0.06610992067642837
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.75	0.1875	0.5625	h001_response_median	0.03409746246376699	0.10036114660022011	0.06626368413645312
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.75	0.1875	0.5625	h001_response_q90	0.04137058607103014	0.11942147427707359	0.07805088820604345
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	1.0	0.0	0.75	endpoint_response_mean	0.11263070763331604	0.19520873519155849	0.08257802755824245
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	1.0	0.0	0.75	endpoint_response_median	0.1128425913863646	0.1960004486599581	0.08315785727359351
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	1.0	0.0	0.75	endpoint_response_q90	0.13218878123448047	0.22423545883823354	0.09204667760375308
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	1.0	0.0	0.75	h001_response_mean	0.13333922701603404	0.20108230230299345	0.0677430752869594
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	1.0	0.0	0.75	h001_response_median	0.13257217289197526	0.200448112621944	0.06787593972996873
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	1.0	0.0	0.75	h001_response_q90	0.15929358815292005	0.23848991190600666	0.07919632375308663
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.0	1.0	0.0	endpoint_response_mean	0.4474215226983263	0.4474215226983263	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.0	1.0	0.0	endpoint_response_median	0.4524378554563332	0.4524378554563332	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.0	1.0	0.0	endpoint_response_q90	0.5772515034327896	0.5772515034327896	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.0	1.0	0.0	h001_response_mean	0.26927603281595325	0.26927603281595325	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.0	1.0	0.0	h001_response_median	0.26831905424047464	0.26831905424047464	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.0	1.0	0.0	h001_response_q90	0.31938259459837004	0.31938259459837004	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.25	0.75	0.25	endpoint_response_mean	0.16784787161664327	0.16784787161664327	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.25	0.75	0.25	endpoint_response_median	0.16550430432657343	0.16550430432657343	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.25	0.75	0.25	endpoint_response_q90	0.20205325024944196	0.20205325024944196	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.25	0.75	0.25	h001_response_mean	0.13437446949246123	0.13437446949246123	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.25	0.75	0.25	h001_response_median	0.1339011235683122	0.1339011235683122	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.25	0.75	0.25	h001_response_q90	0.1593779975531292	0.1593779975531292	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.5	0.5	0.5	endpoint_response_mean	0.0	0.0	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.5	0.5	0.5	endpoint_response_median	0.0	0.0	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.5	0.5	0.5	endpoint_response_q90	0.0	0.0	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.5	0.5	0.5	h001_response_mean	0.0	0.0	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.5	0.5	0.5	h001_response_median	0.0	0.0	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.5	0.5	0.5	h001_response_q90	0.0	0.0	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.75	0.25	0.75	endpoint_response_mean	0.11260302047936961	0.11260302047936961	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.75	0.25	0.75	endpoint_response_median	0.11328416745314254	0.11328416745314254	0.0
