independent_unit_id	pair_id	direction	method	strategy	coverage	macro_f1	balanced_accuracy	accuracy	training_positive_precision
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	balanced_ot	top2_margin_gate	0.8	0.3158100989416668	0.491521659168718	0.4922836343209371	0.5517986643359777
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	row_softmax	max_probability_gate	0.8	0.3475875307861749	0.5744796234992313	0.5564323290291726	0.82590471068083
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	row_softmax	oracle_truth	0.8	0.4030977548380728	0.5833210725367588	0.5948167885040195	1.0
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	row_softmax	random_gate	0.8	0.35938020038293306	0.5741290118741099	0.5825495509857059	0.8135421989153332
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	row_softmax	top2_margin_gate	0.8	0.40359885299883064	0.608865734846127	0.5915867702094388	0.9080372910223657
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	uot	max_probability_gate	0.8	0.3154184023534774	0.5413698139188335	0.5328087874716282	0.6344520640043028
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	uot	oracle_truth	0.8	0.3737862736194282	0.57190084788124	0.5670029529426946	1.0
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	uot	random_gate	0.8	0.32921468314537533	0.5495803035018721	0.538111179431122	0.6681860965443055
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	uot	top2_margin_gate	0.8	0.3331352995999888	0.5358779201916457	0.5349342989228212	0.7492277351978845
HER2ST::D	HER2ST_D1_CONTROLLED	forward	balanced_ot	max_probability_gate	0.8	0.38937604555457095	0.5549494542852031	0.5649923896499239	0.6812540400775694
HER2ST::D	HER2ST_D1_CONTROLLED	forward	balanced_ot	oracle_truth	0.8	0.44533209572435684	0.6188757621426704	0.6365075741103138	1.0
HER2ST::D	HER2ST_D1_CONTROLLED	forward	balanced_ot	random_gate	0.8	0.40023624035650046	0.5682465213262314	0.5795075016307893	0.6482768321003616
HER2ST::D	HER2ST_D1_CONTROLLED	forward	balanced_ot	top2_margin_gate	0.8	0.40094374078252026	0.5634465708741071	0.580840762484598	0.7506266609207786
HER2ST::D	HER2ST_D1_CONTROLLED	forward	row_softmax	max_probability_gate	0.8	0.4330471808874547	0.5911800971885512	0.6088917880698702	0.8659879336349925
HER2ST::D	HER2ST_D1_CONTROLLED	forward	row_softmax	oracle_truth	0.8	0.43692115916657326	0.5944104294345841	0.6146133217366094	1.0
HER2ST::D	HER2ST_D1_CONTROLLED	forward	row_softmax	random_gate	0.8	0.44004384166842636	0.6002748850273005	0.6194651011089367	0.8540161363690776
HER2ST::D	HER2ST_D1_CONTROLLED	forward	row_softmax	top2_margin_gate	0.8	0.42802925372833966	0.5790904155336523	0.6049220845111256	0.9541873159520219
HER2ST::D	HER2ST_D1_CONTROLLED	forward	uot	max_probability_gate	0.8	0.4203123663263833	0.5805005023604057	0.6061317677756034	0.7953763556704733
HER2ST::D	HER2ST_D1_CONTROLLED	forward	uot	oracle_truth	0.8	0.455265009670651	0.6054946160924422	0.639292599840545	1.0
HER2ST::D	HER2ST_D1_CONTROLLED	forward	uot	random_gate	0.8	0.4417739971022596	0.5952248726403315	0.6230383416684786	0.7861141037611625
HER2ST::D	HER2ST_D1_CONTROLLED	forward	uot	top2_margin_gate	0.8	0.4408006459426886	0.5997281748489478	0.6383420308762775	0.8970516411692883
HER2ST::D	HER2ST_D1_CONTROLLED__reverse	reverse	balanced_ot	max_probability_gate	0.8	0.3966749099606022	0.5307853088360913	0.553583304666896	0.6014211429957953
HER2ST::D	HER2ST_D1_CONTROLLED__reverse	reverse	balanced_ot	oracle_truth	0.8	0.4423716496455891	0.5990479845640551	0.625776860451783	1.0
HER2ST::D	HER2ST_D1_CONTROLLED__reverse	reverse	balanced_ot	random_gate	0.8	0.4291513024353288	0.5824738405359172	0.6108989794748308	0.6180194024599291
HER2ST::D	HER2ST_D1_CONTROLLED__reverse	reverse	balanced_ot	top2_margin_gate	0.8	0.3915888956845522	0.5190516020409859	0.5390551542254328	0.732460949537701
HER2ST::D	HER2ST_D1_CONTROLLED__reverse	reverse	row_softmax	max_probability_gate	0.8	0.424562674356133	0.586027610223598	0.6133470932232542	0.9365499734322739
HER2ST::D	HER2ST_D1_CONTROLLED__reverse	reverse	row_softmax	oracle_truth	0.8	0.44332660188478873	0.6099755933885718	0.6362057103543172	1.0
