independent_unit_id	pair_id	direction	method	fold	repeat	strategy	coverage	n_train_available	n_train_selected	n_test	training_positive_precision	macro_f1	balanced_accuracy	accuracy
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	2	0	top2_margin_gate	0.8	179	144	94	0.9236111111111112	0.2980392156862745	0.8085106382978723	0.8085106382978723
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	2	0	random_gate	0.8	179	144	94	0.8402777777777778	0.29365079365079366	0.7872340425531915	0.7872340425531915
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	2	0	oracle_truth	0.8	179	144	94	1.0	0.2958579881656805	0.7978723404255319	0.7978723404255319
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	2	1	max_probability_gate	0.8	179	144	94	0.8402777777777778	0.26495726495726496	0.6595744680851063	0.6595744680851063
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	2	1	top2_margin_gate	0.8	179	144	94	0.9236111111111112	0.26495726495726496	0.6595744680851063	0.6595744680851063
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	2	1	random_gate	0.8	179	144	94	0.8125	0.267515923566879	0.6702127659574468	0.6702127659574468
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	2	1	oracle_truth	0.8	179	144	94	1.0	0.270042194092827	0.6808510638297872	0.6808510638297872
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	2	2	max_probability_gate	0.8	179	144	94	0.8402777777777778	0.2980392156862745	0.8085106382978723	0.8085106382978723
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	2	2	top2_margin_gate	0.8	179	144	94	0.9236111111111112	0.3023255813953488	0.8297872340425532	0.8297872340425532
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	2	2	random_gate	0.8	179	144	94	0.8263888888888888	0.3126177024482109	0.8829787234042553	0.8829787234042553
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	2	2	oracle_truth	0.8	179	144	94	1.0	0.3165735567970205	0.9042553191489362	0.9042553191489362
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	0	0	max_probability_gate	0.8	173	139	100	0.8489208633093526	0.37267080745341613	0.6141304347826086	0.71
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	0	0	top2_margin_gate	0.8	173	139	100	0.9064748201438849	0.3027961736571008	0.49184782608695654	0.59
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	0	0	random_gate	0.8	173	139	100	0.7985611510791367	0.3327744510978044	0.5054347826086957	0.72
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	0	0	oracle_truth	0.8	173	139	100	1.0	0.32174043962661847	0.4891304347826087	0.69
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	0	1	max_probability_gate	0.8	173	139	100	0.8489208633093526	0.3962121212121212	0.7336956521739131	0.72
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	0	1	top2_margin_gate	0.8	173	139	100	0.9064748201438849	0.4087962962962963	0.8016304347826086	0.74
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	0	1	random_gate	0.8	173	139	100	0.8057553956834532	0.37779984552576407	0.7282608695652174	0.71
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	0	1	oracle_truth	0.8	173	139	100	1.0	0.3264288454161872	0.5298913043478262	0.66
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	0	2	max_probability_gate	0.8	173	139	100	0.8489208633093526	0.35055928411633114	0.6793478260869565	0.62
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	0	2	top2_margin_gate	0.8	173	139	100	0.9064748201438849	0.3543653208899709	0.5978260869565217	0.68
