independent_unit_id	method	strategy	coverage	macro_f1	balanced_accuracy	accuracy	training_positive_precision
HER2ST::F	row_softmax	oracle_truth	0.8	0.3148657131096355	0.450200279742633	0.5974240038378538	1.0
HER2ST::F	row_softmax	random_gate	0.8	0.31446571355547903	0.4371484957858087	0.6026543169228545	0.9799186877273887
HER2ST::F	row_softmax	top2_margin_gate	0.8	0.31015152869467444	0.45815886184206833	0.6090510578727635	1.0
HER2ST::F	uot	max_probability_gate	0.8	0.2811844817902528	0.4543106758745624	0.5745613468198598	0.9169361703574439
HER2ST::F	uot	oracle_truth	0.8	0.2881891505695896	0.4451788220316201	0.5882421750921946	1.0
HER2ST::F	uot	random_gate	0.8	0.30152875687411834	0.41871911191063993	0.5836080037720255	0.9288460192892392
HER2ST::F	uot	top2_margin_gate	0.8	0.3103177716942402	0.43289686877314326	0.6007421248773711	0.9883254364082302
HER2ST::G	balanced_ot	max_probability_gate	0.8	0.20362980110173318	0.2707961084045559	0.3397465526781878	0.6607368483941948
HER2ST::G	balanced_ot	oracle_truth	0.8	0.21476824012346113	0.306596696446392	0.34334300159014514	1.0
HER2ST::G	balanced_ot	random_gate	0.8	0.19984678921362092	0.27094867630731406	0.3447943963874384	0.6953118132697842
HER2ST::G	balanced_ot	top2_margin_gate	0.8	0.20479665177392087	0.266585875802961	0.3528147194971002	0.8040561860185852
HER2ST::G	row_softmax	max_probability_gate	0.8	0.18330160193885675	0.2581614888426152	0.3007068914417428	0.7485020694277708
HER2ST::G	row_softmax	oracle_truth	0.8	0.19289226466598797	0.2682623255730181	0.310248300025753	1.0
HER2ST::G	row_softmax	random_gate	0.8	0.19659806746481795	0.2766039200485547	0.3272509077477679	0.7714682951344324
HER2ST::G	row_softmax	top2_margin_gate	0.8	0.1896503858521175	0.2573731859985665	0.3277529416755473	0.8537846234171258
HER2ST::G	uot	max_probability_gate	0.8	0.22335798726444633	0.30702079035983143	0.3563662494368287	0.7174594624557821
HER2ST::G	uot	oracle_truth	0.8	0.2215605413849693	0.3218055252197185	0.34408020263503125	1.0
HER2ST::G	uot	random_gate	0.8	0.21605364623327894	0.3011758911825502	0.3545312493324253	0.742225082527507
HER2ST::G	uot	top2_margin_gate	0.8	0.21393716368404941	0.2898321118193645	0.3664782273471302	0.8685132726089084
HER2ST::H	balanced_ot	max_probability_gate	0.8	0.10503125680509878	0.21337640771181626	0.16766212530862065	0.8373143299548561
HER2ST::H	balanced_ot	oracle_truth	0.8	0.12191454752453468	0.24490972516290363	0.18046260747740087	1.0
HER2ST::H	balanced_ot	random_gate	0.8	0.10818178949680539	0.21228594678251	0.17987050438722765	0.8381576210896278
HER2ST::H	balanced_ot	top2_margin_gate	0.8	0.11944491617226596	0.2327026993428563	0.17204094817796256	0.9263084617584662
HER2ST::H	row_softmax	max_probability_gate	0.8	0.08532023895977592	0.18458063534450736	0.12560602520836492	0.9298078729279206
HER2ST::H	row_softmax	oracle_truth	0.8	0.0996868723858276	0.19769204397776813	0.14444890910718022	1.0
HER2ST::H	row_softmax	random_gate	0.8	0.09355580284104098	0.18646682915067725	0.14124583983923894	0.9148754739541123
HER2ST::H	row_softmax	top2_margin_gate	0.8	0.0789372777141504	0.1813791253917183	0.11685078499529432	0.9739911252138594
HER2ST::H	uot	max_probability_gate	0.8	0.10206743844144642	0.20069312099869316	0.16548333010637215	0.897513465398566
HER2ST::H	uot	oracle_truth	0.8	0.109374181780523	0.19690611291002874	0.17454583290547107	1.0
HER2ST::H	uot	random_gate	0.8	0.11300869211748103	0.20388289592045988	0.1764959851124726	0.8931180193519772
HER2ST::H	uot	top2_margin_gate	0.8	0.10845273046253669	0.21067603571706395	0.16174599103056742	0.9783273320030172
