dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	pair_id	direction	method	epsilon	tau	branch	witness	score	n_estimable	spearman	aurc	oracle_aurc	random_aurc	normalized_excess_aurc	retained_loss_at_80pct_coverage	retained_loss_at_90pct_coverage
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	row_softmax	0.25		main21	heldout_expression_loss	finite_response_h001	1500	-0.576270350342378	0.3092009919883437	0.26492252642634123	0.2948378180267494	1.4801281616589135	0.30392991369921313	0.29793048121241605
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	row_softmax	0.25		main21	heldout_expression_loss	local_reference	1500	-0.5762723450099312	0.30920135833480866	0.26492252642634123	0.2948378180267494	1.4801404077860725	0.30392991369921324	0.2979895623409258
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	row_softmax	0.25		main21	heldout_expression_loss	endpoint_response	1500	-0.5763477085989817	0.3091716932224671	0.26492252642634123	0.2948378180267494	1.4791487707083604	0.30385368006123725	0.29789112450821076
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	row_softmax	0.25		main21	heldout_expression_loss	conditional_entropy	1500	0.17469954431090862	0.2886728069012286	0.26492252642634123	0.2948378180267494	0.7939177325138728	0.2913048155320182	0.2925563260652128
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	row_softmax	0.25		main21	heldout_expression_loss	low_max_probability	1500	0.1885364144606287	0.2870416346591855	0.26492252642634123	0.2948378180267494	0.73939136306271	0.2870645213544479	0.291133980150762
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	row_softmax	0.25		main21	heldout_expression_loss	probability_margin_risk	1500	-0.015498296665909631	0.29408091865242975	0.26492252642634123	0.2948378180267494	0.9746985794278757	0.2941634850426916	0.29416313482789025
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	row_softmax	0.25		main21	heldout_expression_loss	assigned_raw_cost	1500	0.621145196953421	0.2780050572750136	0.26492252642634123	0.2948378180267494	0.43731918188936814	0.2821227101421188	0.288811286813914
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	row_softmax	0.25		main21	heldout_expression_loss	barycentric_displacement	1500	-0.1139012986227994	0.301544316332829	0.26492252642634123	0.2948378180267494	1.2241829494982461	0.3013325612852293	0.2978302427985271
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	row_softmax	0.25		main21	heldout_expression_loss	transported_mass_deficit	1500	0.006743666081687928	0.2945426290267163	0.26492252642634123	0.2948378180267494	0.990132504674329	0.29447532447810737	0.2948740417604741
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	row_softmax	0.25		main21	heldout_expression_loss	source_boundary_proximity	1500	-0.1416351118378006	0.30165412590708124	0.26492252642634123	0.2948378180267494	1.2278536332314682	0.30059427695039115	0.2977630550738713
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	balanced_ot	0.25		main21	heldout_expression_loss	finite_response_h001	1500	0.5148754323890811	0.28936412691068414	0.2734049716426299	0.3024271256159434	0.5498956170768379	0.2923777071271832	0.2977546778826503
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	balanced_ot	0.25		main21	heldout_expression_loss	local_reference	1500	0.5149269524119789	0.28936459939340464	0.2734049716426299	0.3024271256159434	0.5499118971476051	0.2923777071271832	0.2977546778826503
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	balanced_ot	0.25		main21	heldout_expression_loss	endpoint_response	1500	0.5063591797151911	0.2895356510561455	0.2734049716426299	0.3024271256159434	0.5558057278707873	0.2924849895609292	0.2978783546762185
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	balanced_ot	0.25		main21	heldout_expression_loss	conditional_entropy	1500	0.11009429959746649	0.2984277936840892	0.2734049716426299	0.3024271256159434	0.8621972740020721	0.3007367779608089	0.30175067743097056
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	balanced_ot	0.25		main21	heldout_expression_loss	low_max_probability	1500	0.029199433421970414	0.30108603290569375	0.2734049716426299	0.3024271256159434	0.9537907244416509	0.30343529665732444	0.30376775805556877
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	balanced_ot	0.25		main21	heldout_expression_loss	probability_margin_risk	1500	-0.1403205103646713	0.30602479258825244	0.2734049716426299	0.3024271256159434	1.1239627829008536	0.305233168341266	0.3039546804952439
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	balanced_ot	0.25		main21	heldout_expression_loss	assigned_raw_cost	1500	0.4589464759762116	0.29146131838168327	0.2734049716426299	0.3024271256159434	0.6221573614300494	0.29481294526030555	0.29811399331410293
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	balanced_ot	0.25		main21	heldout_expression_loss	barycentric_displacement	1500	-0.08255250246777888	0.308460596649426	0.2734049716426299	0.3024271256159434	1.2078919104016352	0.3080677489057698	0.30527468280798686
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	balanced_ot	0.25		main21	heldout_expression_loss	transported_mass_deficit	1500	-0.01688777660642893	0.30375790681433457	0.2734049716426299	0.3024271256159434	1.0458539776067215	0.3043688028955329	0.3048446803467154
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	balanced_ot	0.25		main21	heldout_expression_loss	source_boundary_proximity	1500	-0.12250067495135604	0.3086177961871501	0.2734049716426299	0.3024271256159434	1.2133084462614008	0.30774109656618465	0.3052746073029879
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	finite_response_h001	1500	0.7706534098643186	0.3327034424911928	0.3229388880405993	0.4035788947066967	0.12108821482400427	0.33775912137056907	0.36902999600303393
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	local_reference	1500	0.7708636784024024	0.33269456284049337	0.3229388880405993	0.4035788947066967	0.12097810011709181	0.33775912137056907	0.36902999600303393
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	endpoint_response	1500	0.751554178247683	0.333395132185401	0.3229388880405993	0.4035788947066967	0.12966571528320234	0.33780795761555815	0.36905163775063254
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	conditional_entropy	1500	-0.35309753146832296	0.4304699258549659	0.3229388880405993	0.4035788947066967	1.3334701007604786	0.42733632161194135	0.4171566397087325
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	low_max_probability	1500	-0.4857447158738691	0.43808090488316564	0.3229388880405993	0.4035788947066967	1.427852273367609	0.4323077729342141	0.41817249429835074
