dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	pair_id	direction	method	epsilon	tau	branch	score	reference	amplitude_comparable	n_estimable	spearman	top_overlap	raw_mae	rmae	intercept	slope	r2
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	local_reference	endpoint_response	True	1500	0.9993197188087641	0.9866666666666667	0.00025964693754765045	0.007464179467478585	0.00011322437367221696	0.9945749084778616	0.9979376840291223
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	endpoint_response	local_reference	True	1500	0.9993197188087641	0.9866666666666667	0.00025964693754765045	0.007447927935280744	-4.1711494172209495e-05	1.0033811184281807	0.9979376840291223
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	endpoint_response	endpoint_response	True	1500	1.0	1.0	0.0	0.0	4.76310784151269e-18	1.0000000000000004	1.0
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	conditional_entropy	local_reference	False	1500	-0.24268646163842741	0.05333333333333334	0.8780659402031081	25.18717111330112	0.09846018977635881	-0.06966440449477142	0.06818755808346477
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	conditional_entropy	endpoint_response	False	1500	-0.23438520283786796	0.05333333333333334	0.8781418433843584	25.244312060181418	0.09627607260855738	-0.06735511507665909	0.06430620349717653
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	low_max_probability	local_reference	False	1500	-0.2849538475350433	0.05333333333333334	0.9615004581375679	27.580475970889523	1.867970836402089	-1.839802233485234	0.10346561702560686
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	low_max_probability	endpoint_response	False	1500	-0.27483571681587415	0.05333333333333334	0.9615763613188181	27.642839158276217	1.7964030264187092	-1.7680492961062262	0.09639864594723557
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	probability_margin_risk	local_reference	False	1500	-0.22023944721753214	0.06666666666666667	0.9649818722558757	27.680339738630927	10.568917979259947	-10.535705117495814	0.07248567636786063
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	probability_margin_risk	endpoint_response	False	1500	-0.21356596514042897	0.06666666666666667	0.9650577754371258	27.742920830816235	10.218934972803611	-10.185743247368421	0.06835005327363153
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	assigned_raw_cost	local_reference	False	1500	0.18098388488172662	0.26666666666666666	0.46945327913613316	13.46618691139188	0.029417712964723956	0.010794685757205356	0.011364652852742463
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	assigned_raw_cost	endpoint_response	False	1500	0.16480016924451968	0.26666666666666666	0.4695291823173834	13.497752429266562	0.030221094085963428	0.00905116344677744	0.008060712038007067
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	barycentric_displacement	local_reference	False	1500	0.15778992257329894	0.14666666666666667	0.047754475060252974	1.3698289384624565	0.031892976158620884	0.03874588219722526	0.031427562986637514
