method,epsilon,tau,grid_role,arm,intervention,score,claim_status,gate_family,independent_units,median_spearman,median_top_decile_overlap,median_nmae,unit_gate_pass_fraction,spearman_gate_pass,overlap_gate_pass,nmae_gate_pass,gate_pass,witness,median_nex_aurc,median_relative_fixed_qc_gain,positive_unit_fraction,positive_technology_count,leave_one_unit_out_fixed_qc_low,negative_control_pass_fraction,leakage_control_pass_fraction,confound_direction_pass_fraction,sensitivity_external_gate,sensitivity_external_gate_with_controls,registered_gate_status,confirmatory
row_softmax,0.5,,epsilon_scan,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9638651146067176,0.7733333333333333,2.197678006193179,0.0,True,True,False,False,,,,,,,,,,,,,
row_softmax,0.5,,epsilon_scan,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.10829624368721943,0.21666666666666667,5.836652202883519,0.0,False,False,False,False,,,,,,,,,,,,,
row_softmax,0.5,,epsilon_scan,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9361052196023198,0.6466666666666667,1.2166242341420817,0.0,True,True,False,False,,,,,,,,,,,,,
row_softmax,0.5,,epsilon_scan,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9663582126036501,0.7233333333333334,1.2706216902382113,0.0,True,True,False,False,,,,,,,,,,,,,
row_softmax,0.5,,epsilon_scan,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9974842815485696,0.95,0.3394542395485649,0.8095238095238095,True,True,True,True,,,,,,,,,,,,,
row_softmax,0.5,,epsilon_scan,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9974842815485696,0.95,0.3394542395485649,0.8095238095238095,True,True,True,True,,,,,,,,,,,,,
row_softmax,0.5,,epsilon_scan,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9652432343303263,0.7,1.2408726940764114,0.0,True,True,False,False,,,,,,,,,,,,,
row_softmax,0.5,,epsilon_scan,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9652432343303263,0.7,1.2408726940764114,0.0,True,True,False,False,,,,,,,,,,,,,
uot,0.1,1.0,interaction_corner,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9160533600237157,0.7233333333333334,3.4864711482074977,0.0,True,True,False,False,,,,,,,,,,,,,
uot,0.1,1.0,interaction_corner,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.6472256903225291,0.5666666666666667,5.2990212752838985,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,1.0,interaction_corner,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,-0.21878940568418032,0.14705882352941177,4.755680125306808,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,1.0,interaction_corner,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,-0.3825498826156083,0.06060606060606061,5.535035865505462,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,1.0,interaction_corner,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9850127471167766,0.9373385012919897,0.3745665276436293,0.6666666666666666,True,True,True,True,,,,,,,,,,,,,
uot,0.1,1.0,interaction_corner,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9850127471167766,0.9373385012919897,0.3745665276436293,0.6666666666666666,True,True,True,True,,,,,,,,,,,,,
uot,0.1,1.0,interaction_corner,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,-0.42756461851172656,0.05,5.161058404510252,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,1.0,interaction_corner,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,-0.42756461851172656,0.05,5.161058404510252,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,2.0,epsilon_scan,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9125451015386228,0.6933333333333334,4.036249674790361,0.0,True,True,False,False,,,,,,,,,,,,,
uot,0.1,2.0,epsilon_scan,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.5342654463401985,0.51,6.5412150511907745,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,2.0,epsilon_scan,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,-0.2974680006524448,0.11764705882352941,4.779028754596054,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,2.0,epsilon_scan,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,-0.42461464027317347,0.038461538461538464,5.274315614027904,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,2.0,epsilon_scan,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9890662152196257,0.9299999999999999,0.38028375335896986,0.7142857142857143,True,True,True,True,,,,,,,,,,,,,
uot,0.1,2.0,epsilon_scan,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9890662152196257,0.9299999999999999,0.38028375335896986,0.7142857142857143,True,True,True,True,,,,,,,,,,,,,
uot,0.1,2.0,epsilon_scan,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,-0.4806379131724059,0.029411764705882353,5.22864782153955,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,2.0,epsilon_scan,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,-0.4806379131724059,0.029411764705882353,5.22864782153955,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,5.0,interaction_corner,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9089366670829633,0.66,4.364183324452791,0.0,True,True,False,False,,,,,,,,,,,,,
uot,0.1,5.0,interaction_corner,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.45901831423036193,0.5133333333333334,6.6617519239991605,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,5.0,interaction_corner,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,-0.3379155788895283,0.11764705882352941,4.913175252572788,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,5.0,interaction_corner,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,-0.417150199622311,0.037037037037037035,5.217276533086565,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,5.0,interaction_corner,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9890692989728525,0.9184981684981685,0.3832975473055225,0.7142857142857143,True,True,True,True,,,,,,,,,,,,,
uot,0.1,5.0,interaction_corner,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,21,0.9890692989728525,0.9184981684981685,0.3832975473055225,0.7142857142857143,True,True,True,True,,,,,,,,,,,,,
