dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	method	epsilon	tau	arm	intervention	h001_spearman	h001_top_overlap	h001_rmae	vector_relative_l1_median	direction_cosine_median	neighborhood_error_median	neighborhood_error_q90
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_E1_CONTROLLED	HER2ST::E	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.9999413430058364	0.9907407407407407	0.004078277526545911	0.005845784571845319	0.9999928390982324	0.010849225237707493	0.014164785865107554
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_E1_CONTROLLED	HER2ST::E	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.9999585099037227	1.0	0.003890265323460018	0.005813063704837626	0.9999921907488629	0.010366863311765789	0.012439032874935653
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_E1_CONTROLLED	HER2ST::E	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.9999646967363375	0.9791128337639965	0.0039253301400685526	0.0058797185288637175	0.9999920842295517	0.010621268652146638	0.012823434643771097
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_E1_CONTROLLED	HER2ST::E	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.99999353213055	1.0	8.842981060599346e-05	0.0006967822991400684	0.9999993633091953	0.00016739313580304752	0.0005236418943606459
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_E1_CONTROLLED	HER2ST::E	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.999965760616636	1.0	0.003941167037051227	0.005852252362050083	0.9999927829851003	0.01066344293152392	0.012693251666612155
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_E1_CONTROLLED	HER2ST::E	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.9999350854741458	1.0	0.003349044315985914	0.004917593577092901	0.9999934393689514	0.008703244619482253	0.012114629531724892
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_E1_CONTROLLED	HER2ST::E	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.9999346236569806	0.9791128337639965	0.003383762394518791	0.0049713297126593205	0.9999933402405042	0.008991659243648014	0.012546914753339276
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_E1_CONTROLLED	HER2ST::E	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.9999968860128694	1.0	0.0004763693953639755	0.0005815622132814503	0.9999997597293089	0.0012773071095876349	0.0014435559875109966
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_E1_CONTROLLED	HER2ST::E	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.9999430819319148	1.0	0.004275158305540834	0.006156224461300833	0.9999911308010984	0.011385482370591442	0.015046933611193379
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_F1_CONTROLLED	HER2ST::F	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.9999347220186383	0.9905660377358491	0.004010215638135681	0.00579327136062405	0.9999925113956198	0.01064421802548	0.01400015210995508
