threshold_set	independent_unit_id	cohort_role	method	epsilon	tau	arm	intervention	h001_spearman	h001_top_overlap	h001_rmae	vector_relative_l1_median	direction_cosine_median	neighborhood_error_median	neighborhood_error_q90	biological_pairs	gate_pass	sensitivity_gate_pass
prespecified	HER2ST::G	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.9999591935061508	1.0	0.0039168957593112	0.0058615562029758	0.999991941080155	0.0102757267395763	0.0129688711645011	1	True	True
prespecified	HER2ST::G	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.99995757870154	1.0	0.0039511547216242	0.0059209981195129	0.9999918386406615	0.0105540711208062	0.0131813013118169	1	True	True
prespecified	HER2ST::G	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.9999914683254888	1.0	0.0001738717986316	0.0007982204355528	0.9999994609340268	0.0004104963299343	0.0008209290126987	1	True	True
prespecified	HER2ST::G	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.9999685864056016	1.0	0.0039767313708909	0.005903088395433	0.9999927481132552	0.0106592862120865	0.0128870926322433	1	True	True
prespecified	HER2ST::G	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.9998291262187976	1.0	0.0034849077784647	0.0051065835727879	0.9999933948032254	0.0094927684086254	0.0119737231132439	1	True	True
prespecified	HER2ST::G	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.9998116207920548	1.0	0.003522050929845	0.0051658524578199	0.9999932976158876	0.0098349374413697	0.0124252907024321	1	True	True
prespecified	HER2ST::G	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.9999970695358756	1.0	0.0004564859088211	0.000592190109696	0.9999998605600298	0.0012843228493773	0.0014891476897128	1	True	True
prespecified	HER2ST::G	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.999808817113346	0.9878048780487804	0.0044148776607944	0.0063857595354423	0.999991162942954	0.0123245571488977	0.0150045982535544	1	True	True
prespecified	HER2ST::H	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.9999344879903054	1.0	0.0040262885270361	0.0059244893140954	0.999992375906792	0.0109156046069142	0.0133135101393742	1	True	True
prespecified	HER2ST::H	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.999938486687278	0.9883720930232558	0.0040620124720427	0.0059856187414336	0.9999922598618616	0.0111657653883981	0.0136449162290517	1	True	True
prespecified	HER2ST::H	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.9999958287515084	1.0	0.0003440646755495	0.000649018876561	0.9999995847811504	0.0006688980903315	0.001552005073875	1	True	True
prespecified	HER2ST::H	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.9999342996938196	1.0	0.0040858802300909	0.0059988894652598	0.9999927708454254	0.011218344132075	0.0137898921035781	1	True	True
prespecified	HER2ST::H	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.9999742376304442	1.0	0.0038722106351506	0.0057758710755279	0.9999919715689312	0.0102953326329136	0.0123233358270172	1	True	True
prespecified	HER2ST::H	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.9999728698889156	1.0	0.0039066329630489	0.0058334022253067	0.999991868849192	0.0104694159365873	0.0126955446257407	1	True	True
