independent_unit_id	cohort_role	method	epsilon	tau	arm	intervention	h	h_spearman	h_top_overlap	h_rmae	scalar_gate_pass
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.01	0.9998514765707853	1.0	0.0033035074551203735	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.02	0.999560902922513	1.0	0.0065739772989472315	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.000625	0.9999960565882523	1.0	0.00020758689816214638	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.00125	0.9999887734982449	1.0	0.00041521019068907516	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.0025	0.9999747727635653	1.0	0.0008308712100020942	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.005	0.9999361868140916	0.9814814814814814	0.0016636721390196289	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.01	0.9998292788216268	0.9814814814814814	0.003337144931913146	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.02	0.9995169688249097	0.9587542087542087	0.006712383101545217	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.000625	1.0	1.0	2.4218685036683653e-05	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.00125	1.0	1.0	4.843737007335606e-05	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.0025	1.0	1.0	9.687370236501662e-05	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.005	0.9999987797703065	1.0	0.00019374221331245332	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.01	0.999997867788716	1.0	0.0003874625971725914	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.02	0.9999963520736375	1.0	0.000774835673514632	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.000625	0.9999948491212766	1.0	0.00026717228477953766	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.00125	0.9999857165426527	1.0	0.0005343856988970605	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.0025	0.9999605148316533	1.0	0.0010692307875355652	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.005	0.9999257701921866	0.9772727272727273	0.002141576215182382	True
