dataset	pair_id	biological_pair_id	independent_unit_id	direction	method	strategy	coverage	training_positive_precision	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST_C1_CONTROLLED	HER2ST::C	forward	balanced_ot	all_top1	1.0	0.5439948862634456	0.027719298245614032	0.13235867446393762	0.24678362573099416	0.1074657747747377	51.1	0.802116402116402	0.8939912833581388
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST_C1_CONTROLLED	HER2ST::C	forward	balanced_ot	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	0.9933333333333334	0.9861904761904764
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST_C1_CONTROLLED	HER2ST::C	forward	balanced_ot	max_probability_gate	0.8	0.5535234923089559	0.021052631578947368	0.11161793372319688	0.23345029239766082	0.09594809754383397	53.5	0.802116402116402	0.8898182384971559
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST_C1_CONTROLLED	HER2ST::C	forward	balanced_ot	oracle_truth	0.8	1.0	0.021052631578947368	0.15235867446393764	0.21060428849902535	0.10563931177834132	48.4	0.8161904761904761	0.8995313450351237
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST_C1_CONTROLLED	HER2ST::C	forward	balanced_ot	random_gate	0.8	0.5474584236121143	0.010526315789473684	0.11353606237816764	0.17489278752436646	0.08648631974671253	54.54	0.8035978835978836	0.8901594092107888
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST_C1_CONTROLLED	HER2ST::C	forward	balanced_ot	top2_margin_gate	0.8	0.6460521478561091	0.01719298245614035	0.14214424951267055	0.26397660818713453	0.10337861137683754	51.3	0.8087830687830687	0.8927108435619061
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST_C1_CONTROLLED	HER2ST::C	forward	row_softmax	all_top1	1.0	0.5228078046553815	0.010526315789473684	0.09723196881091618	0.1428849902534113	0.07915810513339774	55.1	0.8161904761904761	0.8899007908298774
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST_C1_CONTROLLED	HER2ST::C	forward	row_softmax	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	0.9933333333333334	0.9861904761904764
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST_C1_CONTROLLED	HER2ST::C	forward	row_softmax	max_probability_gate	0.8	0.5635843862317425	0.010526315789473684	0.10463937621832357	0.13235867446393762	0.077960424031159	56.0	0.8161904761904761	0.8878115686408939
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST_C1_CONTROLLED	HER2ST::C	forward	row_softmax	oracle_truth	0.8	1.0	0.021052631578947368	0.13516569200779727	0.22187134502923972	0.10679580484021381	48.7	0.8087830687830687	0.8993971404344657
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST_C1_CONTROLLED	HER2ST::C	forward	row_softmax	random_gate	0.8	0.5307419825361894	0.010526315789473684	0.09589863547758284	0.1197270955165692	0.07299978445862315	57.17999999999999	0.8148571428571427	0.8864766560348988
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST_C1_CONTROLLED	HER2ST::C	forward	row_softmax	top2_margin_gate	0.8	0.5849295754702285	0.010526315789473684	0.10463937621832357	0.13902534113060427	0.07415435081312885	55.4	0.8161904761904761	0.8885049167164933
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST_C1_CONTROLLED	HER2ST::C	forward	uot	all_top1	1.0	0.767744079040875	0.027719298245614032	0.20499025341130603	0.2973099415204678	0.1261011425747288	45.8	0.8161904761904761	0.8998926468332457
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST_C1_CONTROLLED	HER2ST::C	forward	uot	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	0.9933333333333334	0.9861904761904764
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST_C1_CONTROLLED	HER2ST::C	forward	uot	max_probability_gate	0.8	0.7505251888419675	0.027719298245614032	0.1354775828460039	0.2839766081871345	0.11212177131050112	50.0	0.8161904761904761	0.8956451049495204
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST_C1_CONTROLLED	HER2ST::C	forward	uot	oracle_truth	0.8	1.0	0.027719298245614032	0.15621832358674465	0.24573099415204677	0.11329879856174603	46.7	0.8087830687830687	0.8994862617887666
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST_C1_CONTROLLED	HER2ST::C	forward	uot	random_gate	0.8	0.7679639904495671	0.01607017543859649	0.14083430799220273	0.237411306042885	0.1009049744205682	51.8	0.8147089947089947	0.8950661051034409
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST_C1_CONTROLLED	HER2ST::C	forward	uot	top2_margin_gate	0.8	0.8431645863603278	0.027719298245614032	0.16674463937621833	0.2867836257309942	0.12049605826212248	47.5	0.8161904761904761	0.8981766085107086
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	balanced_ot	all_top1	1.0	0.4768676183629454	0.008333333333333333	0.08045977011494253	0.15804597701149425	0.07407738005273075	57.9	0.7882439335887612	0.8875353110174622
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	balanced_ot	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	0.9933333333333334	0.9859259259259261
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	balanced_ot	max_probability_gate	0.8	0.49226064633041383	0.008333333333333333	0.09425287356321839	0.12614942528735634	0.07195854998314408	59.5	0.7951404853128992	0.883862710411376
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	balanced_ot	oracle_truth	0.8	1.0	0.016666666666666666	0.1342528735632184	0.21448275862068966	0.10012347355915419	53.0	0.8087037037037037	0.8976751813002725
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	balanced_ot	random_gate	0.8	0.4715166616329407	0.008333333333333333	0.08155172413793102	0.1267241379310345	0.0689657058464973	61.94	0.80185312899106	0.88360558500609
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	balanced_ot	top2_margin_gate	0.8	0.5436625390113762	0.008333333333333333	0.10258620689655173	0.13304597701149426	0.07476530197399527	58.1	0.8020370370370371	0.8856174945356091
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	row_softmax	all_top1	1.0	0.8132847370697839	0.023333333333333334	0.16758620689655174	0.2513793103448276	0.10759816080873144	49.0	0.8018071519795658	0.8988247370021115
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	row_softmax	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	0.9933333333333334	0.9859259259259261
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED__reverse	HER2ST_C1_CONTROLLED	HER2ST::C	reverse	row_softmax	max_probability_gate	0.8	0.8300538608678144	0.016666666666666666	0.14258620689655171	0.19948275862068968	0.09201581279781365	53.8	0.7949106002554278	0.8948577031756157
