dataset	pair_id	independent_unit_id	direction	fold	n_train_available	n_train_selected	n_test	n_components	coverage	strategy	repeat	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	2	215	172	58	16	0.8	oracle_truth	0	0.0	0.0	0.017241379310344827	0.01788554082385976	95.5	0.9310344827586207	0.16444857571576565
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	2	215	172	58	16	0.8	permuted_truth_control	0	0.0	0.034482758620689655	0.034482758620689655	0.024457920745024737	173.5	0.7758620689655172	-0.00255774877680405
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	2	215	172	58	16	0.8	permuted_truth_control	1	0.0	0.017241379310344827	0.017241379310344827	0.01383116315989963	185.5	0.8448275862068966	-0.01201470971032227
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	2	215	172	58	16	0.8	permuted_truth_control	2	0.0	0.017241379310344827	0.017241379310344827	0.018043853325176138	203.5	0.8103448275862069	-0.04172588922206532
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	2	215	172	58	16	0.8	permuted_truth_control	3	0.0	0.017241379310344827	0.034482758620689655	0.014901263824518098	173.0	0.9137931034482759	0.0003437368613116682
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	2	215	172	58	16	0.8	permuted_truth_control	4	0.0	0.0	0.017241379310344827	0.012564743115728283	155.0	0.7931034482758621	0.008902561921042126
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	2	215	172	58	16	0.8	permuted_truth_control	5	0.034482758620689655	0.06896551724137931	0.08620689655172414	0.05836697290549469	158.0	0.8275862068965517	0.03953573004602112
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	2	215	172	58	16	0.8	permuted_truth_control	6	0.0	0.017241379310344827	0.05172413793103448	0.0185505783185679	208.0	0.7413793103448276	-0.04947642853834164
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	2	215	172	58	16	0.8	permuted_truth_control	7	0.0	0.017241379310344827	0.06896551724137931	0.020253930406048417	148.0	0.8793103448275862	0.05906791739822415
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	2	215	172	58	16	0.8	permuted_truth_control	8	0.0	0.017241379310344827	0.05172413793103448	0.02276547950786262	118.0	0.896551724137931	0.08684687773862963
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	2	215	172	58	16	0.8	permuted_truth_control	9	0.0	0.034482758620689655	0.034482758620689655	0.024532140255498096	146.5	0.8448275862068966	0.07401823994456537
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	3	226	181	47	16	0.8	oracle_truth	0	0.0	0.02127659574468085	0.0425531914893617	0.02492693232443544	161.0	0.7872340425531915	0.071219895405889
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	3	226	181	47	16	0.8	permuted_truth_control	0	0.02127659574468085	0.02127659574468085	0.06382978723404255	0.04065591048094867	155.0	0.851063829787234	0.06548807960915816
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	3	226	181	47	16	0.8	permuted_truth_control	1	0.0	0.0	0.0	0.010130053899001741	162.0	0.8085106382978723	0.02527254901323779
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	3	226	181	47	16	0.8	permuted_truth_control	2	0.0	0.02127659574468085	0.0851063829787234	0.02629078092418772	180.0	0.9574468085106383	0.0043365574187716645
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	3	226	181	47	16	0.8	permuted_truth_control	3	0.0	0.0	0.02127659574468085	0.012566221678056577	156.0	0.851063829787234	-0.025526996639277204
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	3	226	181	47	16	0.8	permuted_truth_control	4	0.0	0.0425531914893617	0.0425531914893617	0.024251417749477082	168.0	0.8085106382978723	-0.010737795712892547
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	3	226	181	47	16	0.8	permuted_truth_control	5	0.0	0.02127659574468085	0.02127659574468085	0.021556473908545086	154.0	0.7446808510638298	0.022131090323807747
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	3	226	181	47	16	0.8	permuted_truth_control	6	0.0	0.0	0.0	0.012277879250824249	145.0	0.7872340425531915	0.018863189893768395
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	3	226	181	47	16	0.8	permuted_truth_control	7	0.02127659574468085	0.02127659574468085	0.0425531914893617	0.03304796128721379	177.0	0.8297872340425532	0.004459863739901667
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	3	226	181	47	16	0.8	permuted_truth_control	8	0.02127659574468085	0.0425531914893617	0.0425531914893617	0.03691819942416813	193.0	0.8085106382978723	-0.020601442359685206
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	3	226	181	47	16	0.8	permuted_truth_control	9	0.0	0.0	0.02127659574468085	0.012826134410990708	172.0	0.7872340425531915	0.015280836126420857
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	4	221	177	52	16	0.8	oracle_truth	0	0.0	0.0	0.038461538461538464	0.017577042782912052	135.0	0.6730769230769231	0.047878633918809164
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	4	221	177	52	16	0.8	permuted_truth_control	0	0.0	0.0	0.038461538461538464	0.012635266031761598	198.0	0.5384615384615384	-0.041966120362412554
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	4	221	177	52	16	0.8	permuted_truth_control	1	0.0	0.0	0.038461538461538464	0.011475711399537673	201.0	0.6346153846153846	-0.04900920993847524
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	4	221	177	52	16	0.8	permuted_truth_control	2	0.0	0.0	0.038461538461538464	0.017078528816752096	136.0	0.7115384615384616	0.06087484608567979
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	4	221	177	52	16	0.8	permuted_truth_control	3	0.0	0.019230769230769232	0.038461538461538464	0.01644990113515452	199.0	0.6923076923076923	-0.06910403787406653
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	4	221	177	52	16	0.8	permuted_truth_control	4	0.0	0.019230769230769232	0.057692307692307696	0.024919027325034634	175.5	0.75	-0.01960876158587124
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	4	221	177	52	16	0.8	permuted_truth_control	5	0.0	0.038461538461538464	0.09615384615384616	0.030318382628425497	164.5	0.7307692307692307	0.030328364572504284
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	4	221	177	52	16	0.8	permuted_truth_control	6	0.0	0.019230769230769232	0.038461538461538464	0.01315841688090351	214.0	0.6538461538461539	-0.07625358909518241
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	4	221	177	52	16	0.8	permuted_truth_control	7	0.0	0.019230769230769232	0.038461538461538464	0.017826416803449038	139.0	0.7115384615384616	0.06458721825544445
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	4	221	177	52	16	0.8	permuted_truth_control	8	0.0	0.019230769230769232	0.019230769230769232	0.01281046754431777	206.0	0.6346153846153846	-0.056684835680767535
