dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	pair_id	direction	method	epsilon	tau	n_truth	top1	top5	top10	median_true_probability	median_reciprocal_rank	median_normalized_barycentric_error	metric	score	n_estimable	spearman	aurc	oracle_aurc	random_aurc	normalized_excess_aurc	retained_loss_at_80pct_coverage	retained_loss_at_90pct_coverage	auroc	auprc	prevalence	precision_at_prevalence	recall_at_prevalence
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0								top1_error_detection	transported_mass_deficit	273.0	-0.2518118387389342	0.20625853363345836	0.028115735806914434	0.16117216117216118	1.3388515236113758	0.2009132420091324	0.17886178861788618	0.30230250099245737	0.11138156227094115	0.16117216117216118	0.0	0.0
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0								barycentric_error_ranking	transported_mass_deficit	273.0	0.33300206663238	0.07896704420882561	0.06974699264634394	0.08483157079946746	0.6112236927601783	0.07933658060141058	0.08185601024070062					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0								top1_error_detection	source_boundary_proximity	273.0	0.29903383376547105	0.1149478282962536	0.028115735806914434	0.16117216117216118	0.6525960114363557	0.1278538812785388	0.15040650406504066	0.7347657800714569	0.279350083493473	0.16117216117216118	0.25	0.25
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0								barycentric_error_ranking	source_boundary_proximity	273.0	0.6127021066612042	0.07507342220527877	0.06974699264634394	0.08483157079946746	0.35310430990288555	0.075996175993613	0.08010806739663788					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	row_softmax	0.25		273.0	0.7728937728937729	0.9523809523809523	0.9926739926739927	0.01527830175649254	1.0	0.10046443203480113															
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	row_softmax	0.25									top1_error_detection	finite_response_h001	273.0	0.1472192971697425	0.1987374516309688	0.05678737683978874	0.22710622710622713	0.8334372535342998	0.1963470319634703	0.21544715447154472	0.6014370891301024	0.2887488388152034	0.2271062271062271	0.3225806451612903	0.3225806451612903
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	row_softmax	0.25									barycentric_error_ranking	finite_response_h001	273.0	-0.05995121237714625	0.09691094577972448	0.08144131013945814	0.09699215236920249	0.9947779941254447	0.09629336201783747	0.09461740956189785					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	row_softmax	0.25									top1_error_detection	local_reference	273.0	0.14644270705656373	0.19887829670139132	0.05678737683978874	0.22710622710622713	0.8342642029306948	0.1963470319634703	0.21544715447154472	0.6009020027518728	0.2882914269784961	0.2271062271062271	0.3225806451612903	0.3225806451612903
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	row_softmax	0.25									barycentric_error_ranking	local_reference	273.0	-0.059774274673373005	0.09691895719894698	0.08144131013945814	0.09699215236920249	0.9952931700306559	0.09629336201783747	0.09461740956189785					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	row_softmax	0.25									top1_error_detection	endpoint_response	273.0	0.17928137469955074	0.1895812333497768	0.05678737683978874	0.22710622710622713	0.7796779763499573	0.1917808219178082	0.2073170731707317	0.6235285124598685	0.3294899981855633	0.2271062271062271	0.3387096774193548	0.3387096774193548
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	row_softmax	0.25									barycentric_error_ranking	endpoint_response	273.0	-0.08421173073384322	0.09754464680481385	0.08144131013945814	0.09699215236920249	1.0355282644791162	0.0963690506789074	0.0948812587884388					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	row_softmax	0.25									top1_error_detection	conditional_entropy	273.0	-0.23885693052483467	0.26861658621421924	0.05678737683978874	0.22710622710622713	1.2437214615003294	0.2602739726027397	0.24796747967479674	0.3354227182388014	0.1666343082396312	0.2271062271062271	0.12903225806451613	0.12903225806451613
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	row_softmax	0.25									barycentric_error_ranking	conditional_entropy	273.0	-0.8107008384487989	0.1113727335183664	0.08144131013945814	0.09699215236920249	1.924746128647486	0.10951052939813521	0.1037471527909951					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	row_softmax	0.25									top1_error_detection	low_max_probability	273.0	0.13190937779564718	0.19907225687280827	0.05678737683978874	0.22710622710622713	0.8354030091821082	0.2009132420091324	0.1951219512195122	0.5908882433878612	0.31590952254661514	0.2271062271062271	0.3064516129032258	0.3064516129032258
